"Full Name",Position,"Hand Size","Arm Length","Height (Inches)","Draft Pick",BMI,"Draft Year"
"Ben Powers",OL,"9 7/8","33 3/4",76,4.21,37.4,2019
"Billy Price",OL,"9 3/4","32    ",76,1.21,37.1,2018
"Billy Turner",OL,"10    ","34    ",77,3.03,37.3,2014
"Blaine Clausell",OL,-,-,78,Undrafted,38.0,2015
"Bobby Evans",OL,"9 7/8","34 3/4",76,3.33,38.0,2019
"Bobby Hart",OL,"10 1/8","33    ",77,7.09,39.0,2015
"Bobby Massie",OL,"9    ","35    ",78,4.17,36.5,2012
"Brad Lundblade",OL,"9 5/8","31 3/4",75,Undrafted,36.9,2018
"Brad Seaton",OL,-,-,79,7.18,37.1,2017
"Braden Smith",OL,"9 3/8","32 1/4",78,2.05,36.4,2018
"Bradley Bozeman",OL,"9 3/4","31 1/4",77,6.41,35.1,2018
"Bradley Sowell",OL,-,-,79,Undrafted,34.8,2012
"Branden Albert",OL,-,-,78,1.15,35.7,2008
"Brandon Brooks",OL,-,-,77,3.13,41.0,2012
"Brandon Fusco",OL,"10    ","33 3/4",76,6.07,37.2,2011
"Brandon Greene",OL,-,-,76,Undrafted,35.1,2017
"Brandon Knight",OL,"10    ","34    ",76,Undrafted,38.2,2019
"Brandon Kublanow",OL,-,-,74,Undrafted,38.5,2017
"Brandon Linder",OL,"10 1/4","34 1/2",78,3.29,35.9,2014
"Brandon Parker",OL,"9 3/4","35    ",80,3.01,33.5,2018
"Brandon Scherff",OL,"11    ","33 3/8",77,1.05,37.8,2015
"Brandon Shell",OL,"10 3/4","34 3/4",77,5.19,38.4,2016
"Brandon Thomas",OL,"10 1/2","34 3/4",75,3.36,39.6,2014
"Breno Giacomini",OL,-,-,79,5.15,34.1,2008
"Brent Qvale",OL,"9 1/4","34 3/8",78,Undrafted,36.7,2014
"Brett Boyko",OL,"9    ","32    ",79,Undrafted,33.9,2015
"Brett Jones",OL,-,-,74,Undrafted,40.1,2015
"Brett Toth",OL,"10 1/4","33 3/8",78,Undrafted,33.6,2018
"Brian Allen",OL,"10    ","34    ",75,5.30,26.9,2017
"Brian Mihalik",OL,-,-,81,7.20,32.4,2015
"Brian O'Neill",OL,"9 3/8","34 1/8",79,2.30,33.5,2018
"Brian Schwenke",OL,"10 1/4","32    ",75,4.10,39.2,2013
"Brian Winters",OL,"9 3/4","32 3/4",76,3.10,38.9,2013
"Bryan Buluga",OL,"9 1/4","33 1/4",78,1.23,36.3,2010
"Bryan Witzmann",OL,"10 1/4","33    ",79,Undrafted,35.0,2014
"Bryce Harris",OL,-,-,78,Undrafted,34.7,2012
"Byron Bell",OL,-,-,77,Undrafted,40.2,2011
"Caleb Benenoch",OL,-,-,77,5.09,36.9,2016
"Cam Robinson",OL,"10 1/2","35 1/2",78,2.20,37.2,2017
"Cameron Erving",OL,"10 3/8","34 1/8",77,1.19,37.1,2015
"Cameron Fleming",OL,"9 7/8","34    ",77,4.04,38.3,2014
"Cameron Hunt",OL,-,-,76,Undrafted,37.4,2017
"Cameron Jefferson",OL,-,-,77,Undrafted,37.6,2015
"Cameron Lee",OL,"10 7/8","33 7/8",77,Undrafted,37.0,2017
"Cameron Tom",OL,-,-,75,Undrafted,36.4,2017
"Cedric Ogbuehi",OL,"10    ","35 7/8",77,Undrafted,36.3,2015
"Cedrick Lang",OL,-,-,79,Undrafted,29.9,2016
"Chad Slade",OL,-,-,77,Undrafted,37.1,2015
"Chad Wheeler",OL,"9 1/2","33 1/8",79,Undrafted,34.5,2017
"Chance Warmack",OL,"9 5/8","34 5/8",74,1.10,40.7,2013
"Charles Leno",OL,"10 1/8","34 3/8",76,7.31,36.9,2014
"Chase Roullier",OL,"9 1/2","32 1/4",76,6.15,38.0,2017
"Chaz Green",OL,"10 7/8","33 3/8",77,3.27,37.2,2015
"Chris Barker",OL,"9 3/8","33    ",75,Undrafted,38.1,2013
"Chris Chester",OL,-,-,76,2.24,36.9,2006
"Chris Clark",OL,-,-,76,Undrafted,36.3,2008
"Chris Hairston",OL,"8 7/8","30 3/4",71,Undrafted,27.8,2016
"Chris Hubbard",OL,-,-,75,Undrafted,35.7,2013
"Chris Lindstrom",OL,"9 1/2","34 1/8",76,1.14,37.5,2019
"Chris Reed",OL,-,-,75,Undrafted,38.1,2015
"Chris Scott",OL,"10 3/8","34 1/8",75,5.19,39.9,2010
"Chris Watt",OL,"9 1/2","32 3/4",75,3.25,38.7,2014
"Christian Schneider",OL,"9 7/8","32 3/8",77,Undrafted,35.7,2017
"Christian Westerman",OL,"11 7/8","33 1/2",75,5.21,37.2,2016
"Chukwuma Okorafor",OL,"10 1/4","34 1/2",78,3.28,37.0,2018
"Chuma Edoga",OL,"9 5/8","34 3/4",75,3.28,38.5,2019
"Clint Boling",OL,"9 1/4","33 1/2",77,4.04,36.5,2011
"Cody Ford",OL,"9 3/4","34    ",76,2.06,40.0,2019
"Cody Wallace",OL,-,-,76,4.08,36.0,2008
"Cody Whitehair",OL,"10 1/8","32 3/8",75,2.24,37.6,2016
"Cody Wichmann",OL,-,-,78,6.39,36.4,2015
"Colby Gossett",OL,"10 7/8","33 7/8",77,6.39,36.9,2018
"Cole Boozer",OL,"9 5/8","33 7/8",77,Undrafted,35.6,2018
"Cole Croston",OL,-,-,77,Undrafted,37.2,2017
"Cole Gardner",OL,"9 3/4","33 3/4",78,Undrafted,34.8,2017
"Cole Madison",OL,"10 3/8","32 1/4",77,5.01,36.5,2018
"Cole Manhart",OL,-,-,75,Undrafted,38.1,2015
"Cole Toner",OL,"9 3/4","33 1/8",77,5.31,36.3,2016
"Coleman Shelton",OL,"8 1/2","31 1/2",75,Undrafted,36.5,2018
"Collin Buchanan",OL,"10 1/2","32 3/8",77,Undrafted,37.5,2017
"Connor J. McGovern",OL,"9 7/8","34 1/8",77,3.26,36.5,2019
"Connor McGovern",OL,"10 3/8","32 7/8",76,5.05,37.2,2016
"Connor Williams",OL,"10 1/2","33    ",77,2.18,35.1,2018
"Conor McDermott",OL,"11    ","34 3/4",80,6.27,33.7,2017
"Cordy Glenn",OL,"10 1/8","35 3/4",78,2.09,39.9,2012
"Corey Levin",OL,"10 7/8","33 1/2",76,6.33,37.4,2017
"Corey Linsley",OL,"9 7/8","32    ",75,5.21,37.0,2014
"Corey Robinson",OL,"10 3/4","35 5/8",79,7.23,36.5,2015
"Cornelius Edison",OL,-,-,75,Undrafted,38.4,2015
"Cornelius Lucas",OL,"10    ","36 3/4",80,Undrafted,34.7,2014
"Cyrus Kouandjio",OL,"10 1/4","35 5/8",79,2.12,36.3,2014
"D.J. Fluker",OL,"10 1/2","36 5/8",77,1.11,40.2,2013
"D.J. Humphries",OL,"10    ","33 5/8",77,1.24,36.4,2015
"Dakota Dozier",OL,"9 7/8","33 7/8",76,4.37,38.1,2014
"Dalton Risner",OL,"10 1/4","34    ",77,2.09,37.0,2019
"Damien Mama",OL,"11    ","35    ",75,Undrafted,41.7,2017
"Dan Feeney",OL,"10 1/4","33 3/8",76,3.07,37.1,2017
"Dan France",OL,-,-,77,Undrafted,35.6,2014
"Dan Skipper",OL,"10 1/2","33 3/8",82,Undrafted,32.3,2017
"Daniel Brunskill",OL,"9 7/8","33 7/8",77,Undrafted,32.4,2017
"Daniel Kilgore",OL,"10    ","32 1/2",75,5.31,38.5,2011
"Daniel Munyer",OL,-,-,73,Undrafted,40.2,2015
"Danny Isidora",OL,"9 7/8","33    ",75,5.35,38.2,2017
"Darrell D. Williams",OL,"9 1/2","33    ",77,Undrafted,37.3,2017
"Darrell Greene",OL,"9 5/8","31 5/8",74,Undrafted,41.2,2016
"Darrell Williams",OL,-,-,76,Undrafted,36.6,2015
"Daryl Williams",OL,"9 3/4","35    ",77,4.03,38.8,2015
"David Andrews",OL,-,-,75,Undrafted,36.7,2015
"David Arkin",OL,"10 1/2","33 7/8",77,4.13,35.6,2011
"David Bakhtiari",OL,"9 1/2","34    ",76,4.12,36.4,2013
"David Bright",OL,"10 1/4","33 1/4",77,Undrafted,35.5,2018
"David DeCastro",OL,"10    ","32 3/8",77,1.24,37.5,2012
"David Edwards",OL,"9 3/4","33 3/8",78,5.31,35.6,2019
"David Quessenberry",OL,"10 5/8","34 3/8",77,6.08,35.8,2013
"David Sharpe",OL,"10    ","35 3/8",78,4.21,39.6,2017
"David Yankey",OL,"9 1/2","34    ",78,5.05,36.4,2014
"De'Ondre Wesley",OL,-,-,78,Undrafted,36.2,2015
"Dejon Allen",OL,"9 1/4","32 5/8",74,Undrafted,37.9,2018
"Demar Dotson",OL,-,-,81,Undrafted,32.8,2009
"Demetrius Rhaney",OL,"9 1/2","32    ",74,7.35,38.6,2014
"Dennis Daley",OL,"9 1/2","33 3/8",77,6.39,37.6,2019
"Dennis Kelly",OL,"9 3/4","33 1/2",80,5.18,35.3,2012
"Denver Kirkland",OL,"9 5/8","34 5/8",76,Undrafted,40.8,2016
"Denzelle Good",OL,-,-,77,Undrafted,40.2,2015
"Derek Newton",OL,"9 3/8","33 1/8",77,7.11,36.9,2011
"Derwin Gray",OL,"9 5/8","34 3/8",76,7.05,38.9,2019
"Desmond Harrison",OL,"10 3/8","34    ",78,Undrafted,33.7,2018
"Devon Johnson",OL,"9 1/2","34 3/4",79,Undrafted,38.1,2019
"Deyshawn Bond",OL,-,-,73,Undrafted,39.6,2017
"Dieugot Joseph",OL,-,-,78,Undrafted,33.9,2017
"Dillon Day",OL,-,-,76,Undrafted,37.1,2015
"Dillon Gordon",OL,"9 5/8","33    ",76,Undrafted,37.5,2016
"Dion Dawkins",OL,"9 7/8","35    ",76,2.31,38.2,2017
"Don Barclay",OL,-,-,76,Undrafted,37.1,2012
"Donald Penn",OL,-,-,76,Undrafted,38.6,2006
"Donald Stephenson",OL,"9 7/8","34 7/8",78,3.11,36.1,2012
"Donavon Clark",OL,-,-,76,7.03,38.0,2016
"Donnell Greene",OL,"9 1/2","35 1/4",77,Undrafted,39.7,2019
"Donovan Smith",OL,"10 5/8","34 3/8",78,2.02,39.1,2015
"Dorian Johnson",OL,"10 7/8","35 1/4",77,4.07,35.6,2017
"Doug Free",OL,-,-,78,4.22,37.4,2007
"Drew Forbes",OL,"10    ","32 5/8",77,6.16,36.5,2019
"Dru Samia",OL,"10 1/8","33    ",77,4.12,36.2,2019
"Duane Brown",OL,-,-,76,1.26,38.3,2008
"Dustin Stanton",OL,"9    ","32 3/8",78,Undrafted,34.4,2017
"Earl Watford",OL,"10    ","34    ",75,4.19,37.5,2013
"Elgton Jenkins",OL,"10 1/4","34    ",76,2.12,37.7,2019
"Elijah Nkansah",OL,"9 3/8","34    ",77,Undrafted,35.3,2018
"Elijah Wilkinson",OL,-,-,77,Undrafted,38.9,2017
"Emmett Cleary",OL,"9 3/4","34 1/4",79,Undrafted,35.6,2013
"Ereck Flowers",OL,"9 7/8","34 1/2",78,1.09,38.0,2015
"Eric Fisher",OL,"10 1/2","34 1/2",79,1.01,34.5,2013
"Eric Kush",OL,"9 5/8","33 3/8",76,6.02,37.0,2014
"Eric Smith",OL,-,-,76,Undrafted,38.0,2017
"Eric Winston",OL,-,-,79,3.02,34.9,2006
"Eric Wood",OL,-,-,76,1.28,37.7,2009
"Erik Austell",OL,"9    ","32    ",75,Undrafted,37.6,2017
"Erik Magnuson",OL,-,-,77,Undrafted,36.2,2017
"Erik McCoy",OL,"9 5/8","33    ",76,2.16,36.9,2019
"Ethan Cooper",OL,"10 3/8","32 5/8",74,Undrafted,41.3,2017
"Ethan Greenidge",OL,"10 3/8","34 3/4",76,Undrafted,39.8,2019
"Ethan Pocic",OL,"10 1/8","33 1/8",78,Undrafted,35.8,2017
"Evan Boehm",OL,"10 1/4","31 5/8",74,4.29,38.8,2016
"Evan Brown",OL,"10    ","32 1/2",74,Undrafted,38.8,2018
"Evan Mathis",OL,-,-,77,3.14,36.0,2005
"Evan Smith",OL,-,-,74,Undrafted,37.6,2009
"Fahn Cooper",OL,"10    ","34 3/4",76,5.34,36.9,2016
"Forrest Lamp",OL,"10 5/8","32 1/4",76,2.06,37.6,2017
"Frank Ragnow",OL,"9 3/8","33 1/8",77,1.20,37.0,2018
"Fred Johnson",OL,"10 5/8","34    ",79,Undrafted,36.7,2019
"Gabe Ikard",OL,"9 5/8","33 1/8",76,Undrafted,37.0,2014
"Gabe Jackson",OL,"10    ","33 3/4",75,3.17,42.0,2014
"Garett Bolles",OL,"9 3/8","34    ",77,1.20,35.2,2017
"Garrett Bradbury",OL,"10 1/2","31 3/4",75,1.18,38.2,2019
"Garry Gilliam",OL,-,-,78,Undrafted,35.4,2014
"Geoff Gray",OL,-,-,77,Undrafted,37.3,2017
"George Asafo-Adjei",OL,"10 1/8","33 1/4",77,7.18,36.3,2019
"George Fant",OL,-,-,77,Undrafted,35.1,2016
"Germain Ifedi",OL,"10 3/4","36    ",77,1.31,38.4,2016
"Geron Christian",OL,"10 3/4","35    ",77,3.10,35.3,2018
"Gino Gradkowski",OL,-,-,75,4.03,37.5,2012
"Givens Price",OL,"10 1/4","34 3/4",76,Undrafted,36.3,2016
"Gosder Cherilus",OL,-,-,79,1.17,35.4,2008
"Graham Glasgow",OL,"10 3/4","33 5/8",77,3.31,36.4,2016
"Greg Little",OL,"10 1/4","35 1/4",77,2.05,36.8,2019
"Greg Mancz",OL,"10    ",-,76,Undrafted,36.6,2015
"Greg Robinson",OL,"10    ","35    ",77,1.02,39.4,2014
"Greg Senat",OL,"9 7/8","34 7/8",78,6.38,34.9,2018
"Greg Van Roten",OL,-,-,75,Undrafted,37.9,2012
"Halapoulivaati Vaitai",OL,"10 5/8","34 1/4",78,5.24,37.0,2016
"Hjalte Froholdt",OL,"9 3/4","31 1/4",77,4.16,36.3,2019
"Hroniss Grasu",OL,"10 1/4","32 1/8",75,3.07,37.1,2015
"Hugh Thornton",OL,"10    ","34 1/6",75,3.24,40.0,2013
"Ian Silberman",OL,-,-,77,6.14,36.3,2015
"Isaac Asiata",OL,"10 3/8","33 3/4",75,5.20,40.4,2017
"Isaac Seumalo",OL,"9 7/8","33    ",75,3.16,37.9,2016
"Isaiah Battle",OL,-,-,78,"Supplemental Rd. 5",35.6,2015
"Isaiah Prince",OL,"10 1/8","35 1/2",78,6.29,35.2,2019
"Isaiah Williams",OL,-,-,75,Undrafted,38.4,2016
"Isaiah Wynn",OL,"8 1/2","33 3/8",75,1.23,39.1,2018
"J'Marcus Webb",OL,-,-,79,7.11,36.9,2010
"J.C. Tretter",OL,"10 1/8","33 3/8",76,4.25,37.4,2013
"J.J. Dielman",OL,"10    ","32 1/4",77,5.32,36.6,2017
"J.P. Flynn",OL,-,-,78,Undrafted,35.8,2017
"J.R. Sweezy",OL,"9 5/8","34    ",77,7.18,35.3,2012
"Ja'Wuan James",OL,"9 7/8","35    ",79,1.19,34.6,2014
"Jack Allen",OL,"10 1/8","32 1/4",73,Undrafted,38.8,2016
"Jack Conklin",OL,"10 3/8","35    ",77,1.08,36.5,2016
"Jack Mewhort",OL,"9 3/4","34    ",78,2.27,35.7,2014
"Jackson Barton",OL,"9 1/4","34    ",79,7.26,34.9,2019
"Jah Reid",OL,"10 1/4","34 3/8",79,3.21,36.8,2011
"Jahri Evans",OL,"9 3/4","32 1/4",76,4.11,38.7,2006
"Jake Brendel",OL,-,-,76,Undrafted,36.9,2016
"Jake Eldrenkamp",OL,-,-,77,Undrafted,35.6,2017
"Jake Matthews",OL,"9 7/8","33 3/8",77,1.06,36.5,2014
"Jake Rodgers",OL,-,-,77,7.08,37.3,2015
"Jamarco Jones",OL,"9 1/2","35 1/8",76,5.31,36.4,2018
"James Carpenter",OL,"9 3/4","34    ",76,1.25,39.1,2011
"James Daniels",OL,"9 1/2","33 3/4",75,2.07,38.2,2018
"James Ferentz",OL,-,-,74,Undrafted,36.6,2013
"James Hurst",OL,"10 1/8","33 3/4",77,Undrafted,35.1,2014
"James Stone",OL,"10 1/8","33 7/8",75,Undrafted,36.2,2014
"Jamil Demby",OL,"10 3/4","33 3/4",77,6.18,37.8,2018
"Jamil Douglas",OL,"10 3/4","33 3/8",76,4.15,37.0,2015
"Jamon Brown",OL,"9 3/4","34 3/8",76,3.08,39.3,2015
"Jared Veldheer",OL,-,"33    ",80,3.05,34.3,2010
"Jarron Jones",OL,"10 1/2","35 1/2",78,Undrafted,37.0,2017
"Jaryd Jones-Smith",OL,"10    ","36 1/4",79,Undrafted,35.7,2018
"Jason Kelce",OL,"9 1/2","32 1/2",75,6.26,35.0,2011
"Jason King",OL,-,-,76,Undrafted,37.7,2017
"Jason Peters",OL,"9 3/8","33 1/8",76,Undrafted,39.9,2004
"Jason Spriggs",OL,"10 1/8","34 1/8",77,2.17,35.7,2016
"Jason Weaver",OL,"9 1/4","34    ",76,Undrafted,38.1,2013
"Javarius Leamon",OL,"9 5/8","35 1/4",79,Undrafted,37.4,2017
"Javon Patterson",OL,"9    ","32 1/2",75,7.32,38.4,2019
"Jawaan Taylor",OL,"10    ","35 1/8",77,2.03,37.0,2019
"Jeff Allen",OL,"10    ","33 1/2",76,2.12,37.4,2012
"Jerald Hawkins",OL,"9 5/8","34 1/4",77,4.24,36.2,2016
"Jeremiah Poutasi",OL,"9 1/2","33 7/8",77,3.02,39.7,2015
"Jeremiah Sirles",OL,"9    ","34 1/8",78,Undrafted,36.4,2014
"Jeremy Vujnovich",OL,"9 5/8","32 3/4",77,Undrafted,34.4,2013
"Jeremy Zuttah",OL,-,-,76,3.20,36.9,2008
"Jermaine Eluemunor",OL,"9 1/2","33 1/4",76,5.15,40.4,2017
"Jermey Parnell",OL,-,-,78,Undrafted,37.7,2009
"Jermon Bushrod",OL,"0    ","34 1/2",77,4.26,37.7,2007
"Jerry Ugokwe",OL,"10 3/8","35 3/8",79,Undrafted,36.2,2017
"Jessamen Dunker",OL,"10    ","33 1/2",76,Undrafted,38.7,2017
"Jesse Davis",OL,-,-,78,Undrafted,37.1,2015
"Jimmy Murray",OL,"10    ","32 1/8",77,Undrafted,36.2,2018
"Joe Barksdale",OL,"10    ","36    ",77,3.28,38.7,2011
"Joe Berger",OL,-,-,78,6.33,35.0,2005
"Joe Cheek",OL,"9 1/4","32 3/4",78,Undrafted,34.7,2016
"Joe Dahl",OL,"9 1/8","33 1/8",76,5.12,37.0,2016
"Joe Haeg",OL,"9 5/8","33 3/4",78,5.17,35.1,2016
"Joe Hawley",OL,"10 5/8","33 1/8",75,4.19,37.1,2010
"Joe Looney",OL,"9 3/4","32 1/4",75,4.22,38.6,2012
"Joe Staley",OL,-,-,78,1.28,35.4,2007
"Joe Thomas",OL,-,-,79,1.03,35.0,2007
"Joe Thuney",OL,"9 5/8","32 1/4",76,3.15,37.0,2016
"Joel Bitonio",OL,"9 5/8","33 7/8",76,2.03,36.8,2014
"Joey Hunt",OL,"9 7/8","10 1/4",74,6.04,38.4,2016
"John Fullington",OL,"10 3/4","33 1/2",77,Undrafted,35.6,2014
"John Greco",OL,-,-,77,3.02,36.2,2008
"John Jerry",OL,"9 3/4","34    ",77,3.09,38.9,2010
"John Kling",OL,"10 1/8","34 3/8",79,Undrafted,35.3,2016
"John Miller",OL,"10 1/4","33 1/4",74,3.17,38.9,2015
"John Sullivan",OL,"10    ","31 1/2",76,6.21,37.7,2008
"John Theus",OL,"10 1/8","34 1/2",78,5.06,36.2,2016
"John Urschel",OL,"10 3/8","33    ",75,5.35,39.1,2014
"John Wetzel",OL,"10    ","34    ",79,Undrafted,35.5,2013
"Jon Feliciano",OL,"9 3/4","32 3/8",76,4.29,39.3,2015
"Jon Halapio",OL,"10 1/4","33 5/8",75,6.03,39.4,2014
"Jon Toth",OL,"10    ","33 5/8",77,Undrafted,36.4,2017
"Jonah Williams",OL,"10 1/8","33 5/8",76,1.11,36.8,2019
"Jonathan Cooper",OL,"10 1/4","33    ",74,1.07,39.9,2013
"Jonotthan Harrison",OL,"9 7/8","33 3/8",75,Undrafted,38.0,2014
"Jordan Devey",OL,"9 5/8","32 2/3",79,Undrafted,35.7,2013
"Jordan Mailata",OL,-,"35 1/2",80,7.15,38.0,2018
"Jordan Mills",OL,"9 3/4","34    ",77,5.30,37.5,2013
"Jordan Morgan",OL,"10    ","34 5/8",75,5.03,38.6,2017
"Jordan Roos",OL,-,-,75,Undrafted,37.7,2017
"Jordan Simmons",OL,-,-,75,Undrafted,42.4,2017
"Joseph Noteboom",OL,"9 5/8","34 3/8",77,3.25,36.6,2018
"Josh Allen",OL,"10 3/4","34 1/4",75,Undrafted,39.0,2014
"Josh Andrews",OL,-,-,74,Undrafted,39.9,2014
"Josh Harris",OL,"9    ","30 1/2",73,Undrafted,33.2,2012
"Josh James",OL,-,-,77,Undrafted,37.3,2016
"Josh Kline",OL,"9 1/4","31 3/8",75,Undrafted,37.5,2013
"Josh LeRibeus",OL,"9 3/8","32 1/2",74,3.08,40.4,2012
"Josh Sitton",OL,-,-,75,4.37,40.0,2008
"Josh Walker",OL,"9    ","33 1/2",77,Undrafted,39.1,2014
"Josh Wells",OL,-,-,78,Undrafted,35.4,2014
"Joshua Garnett",OL,"10 1/8","33 7/8",76,1.28,38.0,2016
"Joshua Miles",OL,"10 3/4","35 5/8",77,7.34,37.2,2019
"Josue Matias",OL,"10    ","33 1/8",77,Undrafted,36.6,2015
"Julie'n Davenport",OL,"10 1/2","36 1/2",79,4.24,35.8,2017
"Justin Britt",OL,"10 1/4","33 1/2",78,2.32,37.6,2014
"Justin McCray",OL,-,-,75,Undrafted,40.1,2014
"Justin Murray",OL,-,-,77,Undrafted,36.0,2016
"Justin Pugh",OL,"10 1/4","32    ",77,1.19,36.4,2013
"Justin Senior",OL,"10 1/4","34    ",77,6.26,39.2,2017
"Justin Skule",OL,"10    ","33 7/8",79,6.10,36.0,2019
"Jylan Ware",OL,-,-,79,7.13,35.7,2017
"K.J. Malone",OL,"9 1/4","33 1/2",76,Undrafted,36.9,2018
"KC McDermott",OL,"9 3/4","32 1/2",78,Undrafted,35.9,2018
"Kadeem Edwards",OL,"9 3/8","35 3/8",76,5.03,38.3,2014
"Kahlil McKenzie",OL,"10 1/8","31 1/2",75,6.24,39.2,2018
"Kaleb Johnson",OL,-,-,76,Undrafted,36.5,2015
"Kaleb McGary",OL,"10 1/8","32 7/8",79,1.31,35.7,2019
"Kelechi Osemele",OL,"10 1/4","35 7/8",78,2.28,38.5,2012
"Kelvin Beachum",OL,"9 3/8","33 1/4",75,7.41,37.9,2012
"Kendall Lamm",OL,-,-,77,Undrafted,35.9,2015
"Kenny Wiggins",OL,-,-,78,Undrafted,36.3,2011
"Kent Perkins",OL,-,-,77,Undrafted,37.9,2017
"Kevin Bowen",OL,"10 1/2","34    ",81,Undrafted,37.1,2016
"Kevin Pamphile",OL,"9 1/8","34 1/4",77,5.09,36.8,2014
"Kevin Zeitler",OL,"10 1/4","32 3/4",76,1.27,38.2,2012
"Khalif Barnes",OL,"10 1/8","34    ",78,2.20,37.0,2005
"King Dunlap",OL,-,-,81,7.23,33.2,2008
"Kofi Amichia",OL,-,-,75,6.27,38.0,2017
"Kolton Miller",OL,"10 3/4","34 1/8",81,1.15,33.1,2018
"Korey Cunningham",OL,"9 3/8","32 1/4",77,7.36,36.9,2018
"Kory Lichtensteiger",OL,-,-,74,4.09,38.3,2008
"Kraig Urbik",OL,-,-,77,3.14,38.9,2009
"Kristjan Sokoli",OL,-,-,77,6.38,35.6,2015
"Kyle Friend",OL,"10 5/8","30 7/8",74,Undrafted,39.2,2016
"Kyle Fuller",OL,"10 1/4","34 1/8",77,7.25,36.8,2017
"Kyle Kalis",OL,"10 1/4","32 7/8",76,Undrafted,36.8,2017
