"Full Name",Position,Age,"Birth Date","Hand Size","Arm Length",College,Height,BMI,"Draft Pick","Height (Inches)",Team
"Anthony Wales",RB,-,-,"8 1/4","30 1/8","Western Kentucky","5' 9""",29.1,Undrafted,69,-
"Antone Smith",RB,33.5,9/17/85,-,-,"Florida State","5' 9""",28.1,Undrafted,69,-
"Antonio Andrews",RB,27.4,10/15/91,"9 1/2","31 1/4","Western Kentucky","5' 10""",32.3,Undrafted,70,-
"Arian Foster",RB,32.6,8/24/86,-,-,Tennessee,"6' 1""",29.6,Undrafted,73,-
"Austin Ekeler",RB,23.8,5/17/95,-,-,"Western State","5' 9""",29.4,Undrafted,69,"Los Angeles Chargers"
"Austin Johnson",RB,29.8,6/16/89,-,-,Tennessee,"6' 1""",31.8,Undrafted,73,-
"B.J. Catalon",RB,-,-,"9    ","30    ",TCU,"5' 7""",29.1,Undrafted,67,-
"Ben Malena",RB,26.8,5/29/92,"9    ","28 3/4","Texas A&M","5' 8""",29.5,Undrafted,68,-
"Ben Tate",RB,30.6,8/21/88,"9    ","31 1/4",Auburn,"5' 11""",30.7,2.26,71,-
"BenJarvis Green-Ellis",RB,33.7,7/2/85,-,-,Mississippi,"5' 11""",31.2,Undrafted,71,-
"Benny Cunningham",RB,28.7,7/7/90,-,-,"Middle Tennessee","5' 10""",30.4,Undrafted,70,"Chicago Bears"
"Benny Snell",RB,21.1,2/27/98,"9 3/8","31    ",Kentucky,"5' 10""",32.1,-,70,-
"Bernard Pierce",RB,28.9,5/10/90,"9 1/4","31 1/2",Temple,"6' 0""",29.6,3.21,72,-
"Bilal Powell",RB,30.4,10/27/88,"8 5/8","30 3/4",Louisville,"5' 10""",29.3,4.29,70,-
"Bishop Sankey",RB,26.5,9/15/92,"10    ","31    ",Washington,"5' 10""",30.0,2.22,70,-
"Blake Sims",RB,27.2,1/3/92,"9    ","31 1/2",Alabama,"5' 11""",30.4,Undrafted,71,-
"Bo Scarbrough",RB,22.5,9/29/96,"10    ","33 1/2",Alabama,"6' 1""",30.1,7.18,73,"Seattle Seahawks"
"Bobby Rainey",RB,31.4,10/16/87,"8 5/8","30 1/8","Western Kentucky","5' 8""",32.2,Undrafted,68,-
"Boom Williams",RB,23.5,9/30/95,"8 5/8","30    ",Kentucky,"5' 7""",29.8,Undrafted,67,-
"Boston Scott",RB,23.9,4/27/95,"9 3/8","29 7/8","Louisiana Tech","5' 7""",30.5,6.27,67,"Philadelphia Eagles"
"Bralon Addison",RB,25.4,10/20/93,"9 1/8","29 1/2",Oregon,"5' 9""",29.1,Undrafted,69,-
"Branden Oliver",RB,27.9,5/7/91,"8 7/8","29 1/4",Buffalo,"5' 8""",31.6,Undrafted,68,-
"Brandon Bolden",RB,29.2,1/26/90,"10    ","32 1/4",Mississippi,"5' 11""",30.0,Undrafted,71,"New England Patriots"
"Brandon Burks",RB,25.4,11/1/93,"8 1/4","29 1/4",Troy,"5' 9""",30.7,Undrafted,69,-
"Brandon Radcliff",RB,26.0,3/18/93,"9 1/4","29 1/4",Louisville,"5' 9""",30.4,Undrafted,69,-
"Brandon Wegher",RB,28.3,12/9/90,"9 3/8","29 3/4",Morningside,"5' 10""",30.6,Undrafted,70,-
"Brandon Wilds",RB,25.7,7/22/93,"10 1/4","32    ","South Carolina","6' 1""",29.0,Undrafted,73,"Arizona Cardinals"
"Braylon Heard",RB,27.4,10/11/91,"9    ","30 1/4",Kentucky,"5' 10""",28.4,Undrafted,70,-
"Brennan Clay",RB,27.3,12/12/91,"8 7/8","30    ",Oklahoma,"5' 11""",28.3,Undrafted,71,-
"Brian Hill",RB,23.4,11/9/95,"8 7/8","31 3/8",Wyoming,"6' 1""",28.9,5.12,73,"Atlanta Falcons"
"Bronson Hill",RB,26.2,1/2/93,"9 7/8","30 1/2","Eastern Michigan","5' 10""",30.8,Undrafted,70,-
"Bryce Brown",RB,27.9,5/14/91,-,-,"Kansas State","6' 0""",30.2,7.22,72,-
"Bryce Love",RB,21.7,7/8/97,"9 1/8","29 3/8",Stanford,"5' 9""",29.5,-,69,-
"Buddy Howell",RB,23.0,3/27/96,"9 3/8","29 1/4","Florida Atlantic","6' 0""",29.7,Undrafted,72,"Houston Texans"
"Byron Marshall",RB,25.1,2/13/94,"9 1/2","30 1/4",Oregon,"5' 9""",29.7,Undrafted,69,Washington
"C.J. Anderson",RB,28.1,2/10/91,"9    ","30    ",California,"5' 8""",34.1,Undrafted,68,"Los Angeles Rams"
"C.J. Ham",RB,25.7,7/22/93,"9 1/8","31 1/4",Augustana,"5' 11""",32.2,Undrafted,71,"Minnesota Vikings"
"C.J. Prosise",RB,24.8,5/20/94,"8 1/2","32 1/8","Notre Dame","6' 0""",29.8,3.27,72,"Seattle Seahawks"
"C.J. Spiller",RB,31.6,8/5/87,"10 1/8","30 3/8",Clemson,"5' 11""",27.3,1.09,71,-
"Cameron Artis-Payne",RB,28.7,6/23/90,"8 7/8","29 5/8",Auburn,"5' 10""",30.4,5.38,70,"Carolina Panthers"
"Cameron Marshall",RB,27.4,10/14/91,-,-,"Arizona State","5' 9""",32.0,Undrafted,69,-
"Carlos Hyde",RB,27.5,9/20/91,"9 5/8","32    ","Ohio State","6' 0""",31.2,2.25,72,"Kansas City Chiefs"
"Cedric Peerman",RB,32.5,10/10/86,"8    ","31    ",Virginia,"5' 9""",31.0,6.12,69,-
"Charcandrick West",RB,27.8,6/2/91,"9 1/8","29 7/8","Abilene Christian","5' 10""",29.3,Undrafted,70,-
"Charles Sims",RB,28.5,9/19/90,"8 1/4","31    ","West Virginia","6' 0""",29.0,3.05,72,-
"Chase Edmonds",RB,22.9,4/13/96,"9 1/8","31 1/8",Fordham,"5' 9""",30.3,4.34,69,"Arizona Cardinals"
"Chris Carson",RB,24.5,9/16/94,"9 5/8","33 1/4","Oklahoma State","6' 0""",29.6,7.31,72,"Seattle Seahawks"
"Chris Ivory",RB,31.0,3/22/88,-,-,"Tiffin State","6' 0""",30.1,Undrafted,72,"Buffalo Bills"
"Chris Johnson",RB,33.5,9/23/85,"7 1/4","30 1/4","East Carolina","5' 11""",26.6,1.24,71,-
"Chris Ogbonnaya",RB,32.9,5/5/86,"9 7/8","31 5/8",Texas,"6' 0""",30.5,7.02,72,-
"Chris Polk",RB,29.3,12/16/89,"9 3/4","31 1/2",Washington,"5' 10""",31.9,Undrafted,70,-
"Chris Rainey",RB,31.1,3/2/88,"9 1/2","30 3/4",Florida,"5' 8""",26.6,5.24,68,-
"Chris Thompson",RB,28.4,10/20/90,"9 1/4","30 1/4","Florida State","5' 7""",30.1,5.21,67,Washington
"Chris Warren",RB,22.8,6/6/96,"10    ","32    ",Texas,"6' 2""",31.7,Undrafted,74,"Oakland Raiders"
"Christian McCaffrey",RB,22.8,6/7/96,"9    ","30    ",Stanford,"5' 11""",28.2,1.08,71,"Carolina Panthers"
"Christian Powell",RB,25.1,3/3/94,"8 7/8","32 1/2",Colorado,"5' 11""",31.9,Undrafted,71,-
"Christine Michael",RB,28.4,11/9/90,"9 3/8","31 1/2","Texas A&M","5' 10""",31.6,2.30,70,-
"Christopher Ezeala",RB,23.1,9/19/95,-,-,None,"5' 11""",33.9,Undrafted,71,"Baltimore Ravens"
"Cierre Wood",RB,28.1,2/21/91,"8 5/8","30 7/8","Notre Dame","5' 11""",29.7,Undrafted,71,-
"Corey Clement",RB,24.4,11/2/94,"9 3/4","30 1/2",Wisconsin,"5' 10""",31.6,Undrafted,70,"Philadelphia Eagles"
"Corey Grant",RB,27.3,12/19/91,"8 1/4","30 7/8",Auburn,"5' 11""",28.0,Undrafted,71,-
"Cyrus Gray",RB,29.3,11/18/89,"9 1/8","29 1/2","Texas A&M","5' 10""",28.4,6.12,70,-
"D'Angelo Brewer",RB,23.2,1/6/96,"8 7/8","29 1/4",Tulsa,"5' 7""",29.8,Undrafted,67,-
"D'Ernest Johnson",RB,-,-,"9 5/8","31    ",USF,"5' 11""",27.9,Undrafted,71,-
"D'Onta Foreman",RB,22.9,4/24/96,"10 1/8","31 3/8",Texas,"6' 0""",31.6,3.25,72,"Houston Texans"
"D.J. Adams",RB,28.5,9/27/90,"9    ","30 1/2","Portland State","5' 9""",29.4,Undrafted,69,-
"D.J. Foster",RB,25.3,11/22/93,"9 1/4","30 1/2","Arizona State","5' 10""",27.7,Undrafted,70,"Arizona Cardinals"
"Da&#039;Rel Scott",RB,30.8,5/26/88,"9    ","32 3/8",Maryland,"5' 11""",29.3,7.18,71,-
"Dalton Crossan",RB,25.1,2/25/94,"9 1/2","28 1/2","New Hampshire","5' 11""",28.6,Undrafted,71,-
"Dalvin Cook",RB,23.6,8/10/95,"9 1/4","33 3/8","Florida State","5' 10""",30.1,2.09,70,"Minnesota Vikings"
"Dalyn Dawkins",RB,24.3,12/12/94,"8 3/8","29    ","Colorado State","5' 7""",28.7,Undrafted,67,"Tennessee Titans"
"Damien Harris",RB,22.1,2/11/97,"9 3/4","30 3/4",Alabama,"5' 10""",31.0,-,70,-
"Damien Williams",RB,27.0,4/3/92,"9 1/8","30 5/8",Oklahoma,"5' 11""",31.0,Undrafted,71,"Kansas City Chiefs"
"Dan Herron",RB,30.0,3/21/89,"9    ","32    ","Ohio State","5' 10""",30.8,6.21,70,-
"Dan Vitale",RB,25.4,10/26/93,"9 3/4","31 3/4",Northwestern,"6' 1""",31.5,6.22,73,"Green Bay Packers"
"Daniel Lasco",RB,26.4,10/9/92,"9 1/8","32    ",California,"6' 0""",28.3,7.16,72,-
"Daniel Thomas",RB,31.4,10/29/87,"9    ","32 1/4","Kansas State","6' 0""",31.6,2.30,72,-
"Danny Woodhead",RB,34.2,1/25/85,"9 1/8","28 3/8","Chadron State","5' 8""",29.6,Undrafted,68,-
"Dare Ogunbowale",RB,24.9,5/4/94,"9 1/8","31 3/8",Wisconsin,"5' 11""",29.7,Undrafted,71,"Tampa Bay Buccaneers"
"Darius Jackson",RB,25.3,12/1/93,"8 5/8","31 5/8","Eastern Michigan","6' 0""",29.8,6.41,72,"Dallas Cowboys"
"Darius Victor",RB,25.0,3/6/94,"9    ","28 3/8","Towson State","5' 7""",35.5,Undrafted,67,-
"Darrel Williams",RB,23.9,4/15/95,"9 3/8","31    ",LSU,"6' 0""",30.5,Undrafted,72,"Kansas City Chiefs"
"Darrel Young",RB,32.0,4/8/87,-,-,Villanova,"5' 11""",35.0,Undrafted,71,-
"Darrell Henderson",RB,21.6,8/19/97,"8 5/8","31    ",Memphis,"5' 8""",31.6,-,68,-
"Darren McFadden",RB,31.6,8/27/87,"9 3/8","32 1/4",Arkansas,"6' 1""",27.7,1.04,73,-
"Darren Sproles",RB,35.8,6/20/83,"8    ","28    ","Kansas State","5' 6""",29.9,4.29,66,"Philadelphia Eagles"
"Darrin Reaves",RB,25.9,4/17/93,"8 3/8","30    ",UAB,"5' 7""",33.5,Undrafted,67,-
"Daryl Richardson",RB,28.9,4/12/90,"9 1/8","30 5/8","Abilene Christian","5' 10""",27.5,7.45,70,-
"David Cobb",RB,25.8,6/3/93,"9 3/8","31 5/8",Minnesota,"5' 11""",31.9,5.02,71,-
"David Fluellen",RB,27.1,1/29/92,"9 1/8","33 3/8",Toledo,"5' 11""",31.2,Undrafted,71,"Tennessee Titans"
"David Johnson",RB,27.3,12/16/91,"9 5/8","31 1/4","Northern Iowa","6' 1""",29.6,3.22,73,"Arizona Cardinals"
"David Montgomery",RB,21.8,6/7/97,"9 1/4","31 3/8","Iowa State","5' 10""",31.9,-,70,-
"David Williams",RB,24.8,6/17/94,"9 1/8","30    ",Arkansas,"6' 0""",30.4,7.08,72,"Jacksonville Jaguars"
"David Wilson",RB,27.8,6/15/91,"9 3/8","30 1/4","Virginia Tech","5' 10""",29.4,1.32,70,-
"Davin Meggett",RB,29.0,3/22/90,"9 1/2","30 1/8",Maryland,"5' 8""",33.3,Undrafted,68,-
"De'Angelo Henderson",RB,26.3,11/24/92,"9 1/2","29    ","Coastal Carolina","5' 7""",32.6,6.19,67,"New York Jets"
"De'Lance Turner",RB,23.6,8/23/95,"9    ","30    ","Alcorn State","5' 11""",30.1,Undrafted,71,"Baltimore Ravens"
"De'Veon Smith",RB,24.4,11/8/94,"9    ","29 1/2",Michigan,"5' 11""",31.1,Undrafted,71,-
"DeAndre Washington",RB,26.1,2/22/93,"9    ","30    ","Texas Tech","5' 8""",31.0,5.04,68,"Oakland Raiders"
"DeAngelo Williams",RB,35.9,4/25/83,"9 1/8","31    ",Memphis,"5' 9""",32.0,1.27,69,-
"DeMarco Murray",RB,31.1,2/12/88,"9 1/4","32    ",Oklahoma,"6' 0""",29.2,3.07,72,-
"Dee Hart",RB,26.2,1/1/93,"9    ","29 3/4","Colorado State","5' 7""",31.2,Undrafted,67,-
"Delone Carter",RB,31.8,6/22/87,"9 3/8","31    ",Syracuse,"5' 9""",33.2,4.22,69,-
"Demario Richard",RB,22.3,12/2/96,"9 1/4","28 3/4","Arizona State","5' 9""",32.2,Undrafted,69,-
"Denard Robinson",RB,28.5,9/22/90,"9    ","32 5/8",Michigan,"5' 10""",28.6,5.02,70,-
"Dennis Johnson",RB,29.1,2/24/90,-,-,Arkansas,"5' 7""",30.2,Undrafted,67,-
"Derek Watt",RB,26.4,11/7/92,"10 1/8","31    ",Wisconsin,"6' 2""",30.0,6.23,74,"Los Angeles Chargers"
"Derrick Coleman",RB,28.4,10/18/90,-,-,UCLA,"6' 0""",31.6,Undrafted,72,"Arizona Cardinals"
"Derrick Henry",RB,24.7,7/17/94,"8 3/4","33    ",Alabama,"6' 3""",30.9,2.14,75,"Tennessee Titans"
"Derrius Guice",RB,21.7,6/21/97,"9    ","30 3/4",LSU,"5' 11""",31.2,2.27,71,Washington
"Desmond Martin",RB,27.0,3/20/92,"9 1/2","30 1/2","Wayne State","6' 0""",30.0,Undrafted,72,-
"Detrez Newsome",RB,25.0,3/6/94,"9 7/8","31 3/4","Western Carolina","5' 9""",30.7,Undrafted,69,"Los Angeles Chargers"
"Devante Mays",RB,24.8,5/26/94,"8 5/8","31 3/4","Utah State","5' 10""",33.0,7.20,70,"Cleveland Browns"
"Devin Singletary",RB,21.5,9/3/97,"8 1/2","28 7/8","Florida Atlantic","5' 7""",31.8,-,67,-
"Devine Redding",RB,23.1,2/5/96,"9 5/8","29 1/4",Indiana,"5' 8""",31.2,Undrafted,68,-
"Devon Johnson",RB,25.6,7/28/93,"9 1/4","31 1/4",Marshall,"6' 0""",32.3,Undrafted,72,-
"Devonta Freeman",RB,27.0,3/15/92,"9 5/8","29 3/8","Florida State","5' 8""",31.3,4.03,68,"Atlanta Falcons"
"Devontae Booker",RB,26.8,5/27/92,"8 5/8","31 5/8",Utah,"5' 11""",30.5,4.38,71,"Denver Broncos"
"Dexter McCluster",RB,30.6,8/25/88,"8 3/8","29 1/4",Mississippi,"5' 8""",25.8,2.04,68,-
"Dexter Williams",RB,22.2,1/6/97,"9 5/8","32 1/4","Notre Dame","5' 11""",29.6,-,71,-
"Dillon Baxter",RB,27.4,10/23/91,"8    ","30    ","Baker University","5' 11""",27.5,Undrafted,71,-
"Dimitri Flowers",RB,23.2,1/20/96,"9 1/4","30 3/4",Oklahoma,"6' 2""",31.8,Undrafted,74,"Jacksonville Jaguars"
"Diocemy Saint Juste",RB,-,-,"9 3/8","29    ",Hawaii,"5' 8""",28.7,Undrafted,68,-
"Dion Lewis",RB,28.5,9/27/90,"8 5/8","28 1/8",Pittsburgh,"5' 7""",30.2,5.18,67,"Tennessee Titans"
"Dominique Brown",RB,27.2,12/27/91,"9 1/2","32 3/8",Louisville,"6' 2""",30.0,Undrafted,74,-
"Dominique Williams",RB,28.6,9/2/90,"9 1/2","30 3/4",Wagner,"5' 9""",30.3,Undrafted,69,-
"Don Jackson",RB,25.5,9/7/93,"9    ","29 7/8",Nevada,"5' 11""",28.6,Undrafted,71,-
"Donald Brown",RB,31.9,4/11/87,"9    ","31 1/2",Connecticut,"5' 10""",30.1,1.27,70,-
"Donnel Pumphrey",RB,24.3,12/6/94,"8 1/2","29    ","San Diego State","5' 8""",26.8,4.26,68,"Philadelphia Eagles"
"Dontrell Hilliard",RB,24.1,2/26/95,"9 3/4","31 7/8",Tulane,"5' 11""",28.2,Undrafted,71,"Cleveland Browns"
"Doug Martin",RB,30.2,1/13/89,"9    ","30 1/2","Boise State","5' 9""",32.9,1.31,69,-
"Dreamius Smith",RB,26.5,9/8/92,"9 1/4","30 5/8","West Virginia","5' 11""",31.1,Undrafted,71,-
"Dri Archer",RB,27.6,8/9/91,"8 7/8","31    ","Kent State","5' 8""",26.3,3.33,68,-
"DuJuan Harris",RB,30.5,9/3/88,-,-,Troy,"5' 7""",30.9,Undrafted,67,-
"Duke Johnson",RB,25.5,9/23/93,"9 1/4","30 3/8",Miami,"5' 9""",30.6,3.13,69,"Cleveland Browns"
"Dwayne Washington",RB,24.9,4/24/94,"9 7/8","32 3/8",Washington,"6' 0""",30.2,7.15,72,"New Orleans Saints"
"Eddie Lacy",RB,28.8,6/2/90,"9 1/2","31    ",Alabama,"5' 11""",34.9,2.29,71,-
"Edwin Baker",RB,27.8,6/1/91,"8 1/8","29 5/8","Michigan State","5' 8""",30.4,7.43,68,-
"Elijah Holyfield",RB,20.5,9/12/98,"9    ","30 3/8",Georgia,"5' 10""",31.1,-,70,-
"Elijah Hood",RB,22.9,4/22/96,"9 3/8","30 3/8","North Carolina","6' 0""",31.5,7.24,72,"Carolina Panthers"
"Elijah McGuire",RB,24.8,6/1/94,"9    ","31    ","UL Lafayette","5' 10""",30.7,6.04,70,"New York Jets"
"Elijah Wellman",RB,24.5,9/20/94,"8 7/8","30 1/8","West Virginia","6' 1""",31.8,Undrafted,73,Washington
"Elijhaa Penny",RB,25.6,8/17/93,"9 1/8","30 1/4",Idaho,"6' 1""",32.2,Undrafted,73,"New York Giants"
"Evan Royster",RB,31.3,11/26/87,"9 1/4","30 5/8","Penn State","6' 0""",28.7,6.12,72,-
"Ezekiel Elliott",RB,23.7,7/22/95,"10 1/4","31 1/4","Ohio State","6' 0""",30.5,1.04,72,"Dallas Cowboys"
"Felix Jones",RB,31.9,5/8/87,"9 1/8","31 1/8",Arkansas,"5' 10""",30.8,1.22,70,-
"Fitzgerald Toussaint",RB,28.9,5/4/90,"8 1/2","30 1/2",Michigan,"5' 10""",29.4,Undrafted,70,-
"Fozzy Whittaker",RB,30.1,2/2/89,"9 1/4","30 3/4",Texas,"5' 9""",29.8,Undrafted,69,"Carolina Panthers"
"Frank Gore",RB,35.9,5/14/83,-,-,Miami,"5' 9""",32.0,3.01,69,"Buffalo Bills"
"Fred Jackson",RB,38.1,2/20/81,-,-,"Coe College","6' 1""",28.4,Undrafted,73,-
"George Atkinson III",RB,26.3,11/29/92,"9 3/8","33 1/4","Notre Dame","6' 1""",28.8,Undrafted,73,-
"George Farmer",RB,25.7,7/4/93,"8 5/8","33    ",USC,"6' 1""",27.0,Undrafted,73,-
"George Winn",RB,28.4,11/10/90,"9 7/8","30 7/8",Cincinnati,"5' 11""",29.3,Undrafted,71,-
"Giovani Bernard",RB,27.3,11/22/91,"9 3/8","28    ","North Carolina","5' 8""",30.7,2.05,68,"Cincinnati Bengals"
"Glasco Martin",RB,27.9,4/14/91,"9 1/2","32    ",Baylor,"6' 0""",29.4,Undrafted,72,-
"Glenn Winston",RB,29.9,4/29/89,"10 3/8","31    ",Northwood,"6' 2""",28.2,Undrafted,74,-
"Gus Edwards",RB,23.9,4/13/95,"9 1/8","32 5/8",Rutgers,"6' 1""",30.2,Undrafted,73,"Baltimore Ravens"
"Gus Johnson",RB,25.6,8/10/93,"9 1/8","29 5/8","Stephen F. Austin","5' 10""",30.8,Undrafted,70,-
"Henry Josey",RB,27.5,9/25/91,"9 1/2","30 1/4",Missouri,"5' 8""",29.5,Undrafted,68,-
"I'Tavius Mathers",RB,25.3,11/19/93,"9    ","31    ","Middle Tennessee","5' 11""",28.3,Undrafted,71,-
"Isaiah Crowell",RB,26.2,1/8/93,"9 1/4","31 3/4","Alabama State","5' 11""",31.2,Undrafted,71,-
"Isaiah Pead",RB,29.3,12/14/89,"8 5/8","31    ",Cincinnati,"5' 10""",28.3,2.18,70,-
"Ito Smith",RB,23.5,9/11/95,"9 3/8","28 7/8","S. Mississippi","5' 9""",29.5,4.26,69,"Atlanta Falcons"
"J.D. McKissic",RB,25.6,8/15/93,"9 5/8","29    ","Arkansas State","5' 10""",26.8,Undrafted,70,"Seattle Seahawks"
"Jackie Battle",RB,35.5,10/1/83,"9 5/8","32 5/8",Houston,"6' 2""",30.8,Undrafted,74,-
"Jacquizz Rodgers",RB,29.1,2/6/90,"8 3/4","30 3/8","Oregon State","5' 6""",31.6,5.14,66,"Tampa Bay Buccaneers"
"Jahad Thomas",RB,23.4,11/6/95,"9    ","30 1/8",Temple,"5' 10""",27.3,Undrafted,70,-
"Jahwan Edwards",RB,26.7,7/27/92,"8 7/8","31 5/8","Ball State","5' 9""",32.5,Undrafted,69,-
"Jalen Parmele",RB,33.2,12/30/85,"8 7/8","32 1/4",Toledo,"5' 11""",31.1,6.10,71,-
"Jalen Richard",RB,25.4,10/15/93,"8 7/8","29 1/8","S Mississippi","5' 8""",31.5,Undrafted,68,"Oakland Raiders"
"Jalen Simmons",RB,27.0,4/1/92,"8 1/8","29 5/8","South Carolina State","5' 8""",33.4,Undrafted,68,-
"Jalin Moore",RB,23.3,11/28/95,"9 1/4","32 3/8","Appalachian State","5' 10""",30.4,-,70,-
"Jalston Fowler",RB,28.7,7/26/90,"10 1/2","32 3/4",Alabama,"5' 11""",35.4,4.09,71,-
"Jamaal Charles",RB,32.2,12/27/86,"9 1/8","31 5/8",Texas,"5' 11""",27.8,3.10,71,-
"Jamaal Williams",RB,24.0,4/3/95,"10    ","31 1/4",BYU,"6' 0""",28.7,4.28,72,"Green Bay Packers"
"Jamal Morrow",RB,24.2,1/23/95,"8 7/8","29 3/8","Washington State","5' 8""",29.6,Undrafted,68,-
"James Butler",RB,24.1,2/19/95,"8 3/4","29 5/8",Iowa,"5' 8""",31.8,Undrafted,68,"Oakland Raiders"
"James Conner",RB,23.9,5/5/95,"9 7/8","31 1/4",Pittsburgh,"6' 1""",30.7,3.41,73,"Pittsburgh Steelers"
"James Develin",RB,30.7,7/23/88,-,-,Brown,"6' 3""",31.9,Undrafted,75,"New England Patriots"
"James Flanders",RB,24.7,6/30/94,"8    ","29 1/2",Tulsa,"5' 9""",29.2,Undrafted,69,-
"James Starks",RB,33.1,2/25/86,"9 1/2","33 5/8",Buffalo,"6' 2""",28.0,6.24,74,-
"James Summers",RB,24.8,6/12/94,"9 3/8","30 7/8","East Carolina","6' 1""",28.8,Undrafted,73,-
"James White",RB,27.1,2/3/92,"8 1/4","29 1/4",Wisconsin,"5' 9""",30.1,4.30,69,"New England Patriots"
"James Wilder Jr.",RB,26.9,4/14/92,"9 3/4","32    ","Florida State","6' 3""",29.0,Undrafted,75,-
"James Williams",RB,22.8,5/17/96,"9 1/4","30 3/8","Washington State","5' 9""",29.1,-,69,-
"Jamize Olawale",RB,29.9,4/17/89,-,-,"North Texas","6' 1""",31.4,Undrafted,73,"Dallas Cowboys"
"Jarryd Hayne",RB,31.1,2/15/88,-,-,None,"6' 2""",28.2,Undrafted,74,-
"Jarveon Williams",RB,24.2,1/3/95,"9 1/2","30 1/8",UTSA,"5' 9""",30.3,Undrafted,69,-
"Jarvion Franklin",RB,23.3,12/9/95,"9 1/4","31 1/4","Western Michigan","6' 0""",32.4,Undrafted,72,-
"Javorius Allen",RB,27.6,8/27/91,"9 3/8","31 3/4",USC,"6' 0""",30.0,4.26,72,-
"Jay Ajayi",RB,25.8,6/15/93,"10    ","32    ","Boise State","6' 0""",30.0,5.13,72,"Philadelphia Eagles"
"Jay Prosch",RB,26.6,8/21/92,"10    ","30 1/8",Auburn,"6' 1""",33.6,6.35,73,-
"Jaylen Samuels",RB,22.7,7/20/96,"9 1/4","31 3/8","NC State","6' 0""",30.5,5.28,72,"Pittsburgh Steelers"
"Jeff Wilson",RB,23.3,11/16/95,"9 1/4","31 1/2","North Texas","6' 0""",28.5,Undrafted,72,"San Francisco 49ers"
"Jeremy Hill",RB,26.4,10/29/92,"10 3/8","32 5/8",LSU,"6' 1""",30.7,2.23,73,-
