"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Brian Winters",OL,"32 3/4",76,38.9,3.10,2013,"9 3/4"
"Bryan Buluga",OL,"33 1/4",78,36.3,1.23,2010,"9 1/4"
"Bryan Witzmann",OL,"33    ",79,35.0,Undrafted,2014,"10 1/4"
"Bryce Harris",OL,-,78,34.7,Undrafted,2012,-
"Byron Bell",OL,-,77,40.2,Undrafted,2011,-
"Caleb Benenoch",OL,-,77,36.9,5.09,2016,-
"Cam Robinson",OL,"35 1/2",78,37.2,2.20,2017,"10 1/2"
"Cameron Erving",OL,"34 1/8",77,37.1,1.19,2015,"10 3/8"
"Cameron Fleming",OL,"34    ",77,38.3,4.04,2014,"9 7/8"
"Cameron Hunt",OL,-,76,37.4,Undrafted,2017,-
"Cameron Jefferson",OL,-,77,37.6,Undrafted,2015,-
"Cameron Lee",OL,"33 7/8",77,37.0,Undrafted,2017,"10 7/8"
"Cameron Tom",OL,-,75,36.4,Undrafted,2017,-
"Cedric Ogbuehi",OL,"35 7/8",77,36.3,Undrafted,2015,"10    "
"Cedrick Lang",OL,-,79,29.9,Undrafted,2016,-
"Chad Slade",OL,-,77,37.1,Undrafted,2015,-
"Chad Wheeler",OL,"33 1/8",79,34.5,Undrafted,2017,"9 1/2"
"Chance Warmack",OL,"34 5/8",74,40.7,1.10,2013,"9 5/8"
"Charles Leno",OL,"34 3/8",76,36.9,7.31,2014,"10 1/8"
"Chase Roullier",OL,"32 1/4",76,38.0,6.15,2017,"9 1/2"
"Chaz Green",OL,"33 3/8",77,37.2,3.27,2015,"10 7/8"
"Chris Barker",OL,"33    ",75,38.1,Undrafted,2013,"9 3/8"
"Chris Chester",OL,-,76,36.9,2.24,2006,-
"Chris Clark",OL,-,76,36.3,Undrafted,2008,-
"Chris Hairston",OL,"30 3/4",71,27.8,Undrafted,2016,"8 7/8"
"Chris Hubbard",OL,-,75,35.7,Undrafted,2013,-
"Chris Lindstrom",OL,"34 1/8",76,37.5,1.14,2019,"9 1/2"
"Chris Reed",OL,-,75,38.1,Undrafted,2015,-
"Chris Scott",OL,"34 1/8",75,39.9,5.19,2010,"10 3/8"
"Chris Watt",OL,"32 3/4",75,38.7,3.25,2014,"9 1/2"
"Christian Schneider",OL,"32 3/8",77,35.7,Undrafted,2017,"9 7/8"
"Christian Westerman",OL,"33 1/2",75,37.2,5.21,2016,"11 7/8"
"Chukwuma Okorafor",OL,"34 1/2",78,37.0,3.28,2018,"10 1/4"
"Chuma Edoga",OL,"34 3/4",75,38.5,3.28,2019,"9 5/8"
"Clint Boling",OL,"33 1/2",77,36.5,4.04,2011,"9 1/4"
"Cody Ford",OL,"34    ",76,40.0,2.06,2019,"9 3/4"
"Cody Wallace",OL,-,76,36.0,4.08,2008,-
"Cody Whitehair",OL,"32 3/8",75,37.6,2.24,2016,"10 1/8"
"Cody Wichmann",OL,-,78,36.4,6.39,2015,-
"Colby Gossett",OL,"33 7/8",77,36.9,6.39,2018,"10 7/8"
"Cole Boozer",OL,"33 7/8",77,35.6,Undrafted,2018,"9 5/8"
"Cole Croston",OL,-,77,37.2,Undrafted,2017,-
"Cole Gardner",OL,"33 3/4",78,34.8,Undrafted,2017,"9 3/4"
"Cole Madison",OL,"32 1/4",77,36.5,5.01,2018,"10 3/8"
"Cole Manhart",OL,-,75,38.1,Undrafted,2015,-
"Cole Toner",OL,"33 1/8",77,36.3,5.31,2016,"9 3/4"
"Coleman Shelton",OL,"31 1/2",75,36.5,Undrafted,2018,"8 1/2"
"Collin Buchanan",OL,"32 3/8",77,37.5,Undrafted,2017,"10 1/2"
"Connor J. McGovern",OL,"34 1/8",77,36.5,3.26,2019,"9 7/8"
"Connor McGovern",OL,"32 7/8",76,37.2,5.05,2016,"10 3/8"
"Connor Williams",OL,"33    ",77,35.1,2.18,2018,"10 1/2"
"Conor McDermott",OL,"34 3/4",80,33.7,6.27,2017,"11    "
"Cordy Glenn",OL,"35 3/4",78,39.9,2.09,2012,"10 1/8"
"Corey Levin",OL,"33 1/2",76,37.4,6.33,2017,"10 7/8"
"Corey Linsley",OL,"32    ",75,37.0,5.21,2014,"9 7/8"
"Corey Robinson",OL,"35 5/8",79,36.5,7.23,2015,"10 3/4"
"Cornelius Edison",OL,-,75,38.4,Undrafted,2015,-
"Cornelius Lucas",OL,"36 3/4",80,34.7,Undrafted,2014,"10    "
"Cyrus Kouandjio",OL,"35 5/8",79,36.3,2.12,2014,"10 1/4"
"D.J. Fluker",OL,"36 5/8",77,40.2,1.11,2013,"10 1/2"
"D.J. Humphries",OL,"33 5/8",77,36.4,1.24,2015,"10    "
"Dakota Dozier",OL,"33 7/8",76,38.1,4.37,2014,"9 7/8"
"Dalton Risner",OL,"34    ",77,37.0,2.09,2019,"10 1/4"
"Damien Mama",OL,"35    ",75,41.7,Undrafted,2017,"11    "
"Dan Feeney",OL,"33 3/8",76,37.1,3.07,2017,"10 1/4"
"Dan France",OL,-,77,35.6,Undrafted,2014,-
"Dan Skipper",OL,"33 3/8",82,32.3,Undrafted,2017,"10 1/2"
"Daniel Brunskill",OL,"33 7/8",77,32.4,Undrafted,2017,"9 7/8"
"Daniel Kilgore",OL,"32 1/2",75,38.5,5.31,2011,"10    "
"Daniel Munyer",OL,-,73,40.2,Undrafted,2015,-
"Danny Isidora",OL,"33    ",75,38.2,5.35,2017,"9 7/8"
"Darrell D. Williams",OL,"33    ",77,37.3,Undrafted,2017,"9 1/2"
"Darrell Greene",OL,"31 5/8",74,41.2,Undrafted,2016,"9 5/8"
"Darrell Williams",OL,-,76,36.6,Undrafted,2015,-
"Daryl Williams",OL,"35    ",77,38.8,4.03,2015,"9 3/4"
"David Andrews",OL,-,75,36.7,Undrafted,2015,-
"David Arkin",OL,"33 7/8",77,35.6,4.13,2011,"10 1/2"
"David Bakhtiari",OL,"34    ",76,36.4,4.12,2013,"9 1/2"
"David Bright",OL,"33 1/4",77,35.5,Undrafted,2018,"10 1/4"
"David DeCastro",OL,"32 3/8",77,37.5,1.24,2012,"10    "
"David Edwards",OL,"33 3/8",78,35.6,5.31,2019,"9 3/4"
"David Quessenberry",OL,"34 3/8",77,35.8,6.08,2013,"10 5/8"
"David Sharpe",OL,"35 3/8",78,39.6,4.21,2017,"10    "
"David Yankey",OL,"34    ",78,36.4,5.05,2014,"9 1/2"
"De'Ondre Wesley",OL,-,78,36.2,Undrafted,2015,-
"Dejon Allen",OL,"32 5/8",74,37.9,Undrafted,2018,"9 1/4"
"Demar Dotson",OL,-,81,32.8,Undrafted,2009,-
"Demetrius Rhaney",OL,"32    ",74,38.6,7.35,2014,"9 1/2"
"Dennis Daley",OL,"33 3/8",77,37.6,6.39,2019,"9 1/2"
"Dennis Kelly",OL,"33 1/2",80,35.3,5.18,2012,"9 3/4"
"Denver Kirkland",OL,"34 5/8",76,40.8,Undrafted,2016,"9 5/8"
"Denzelle Good",OL,-,77,40.2,Undrafted,2015,-
"Derek Newton",OL,"33 1/8",77,36.9,7.11,2011,"9 3/8"
"Derwin Gray",OL,"34 3/8",76,38.9,7.05,2019,"9 5/8"
"Desmond Harrison",OL,"34    ",78,33.7,Undrafted,2018,"10 3/8"
"Devon Johnson",OL,"34 3/4",79,38.1,Undrafted,2019,"9 1/2"
"Deyshawn Bond",OL,-,73,39.6,Undrafted,2017,-
"Dieugot Joseph",OL,-,78,33.9,Undrafted,2017,-
"Dillon Day",OL,-,76,37.1,Undrafted,2015,-
"Dillon Gordon",OL,"33    ",76,37.5,Undrafted,2016,"9 5/8"
"Dion Dawkins",OL,"35    ",76,38.2,2.31,2017,"9 7/8"
"Don Barclay",OL,-,76,37.1,Undrafted,2012,-
"Donald Penn",OL,-,76,38.6,Undrafted,2006,-
"Donald Stephenson",OL,"34 7/8",78,36.1,3.11,2012,"9 7/8"
"Donavon Clark",OL,-,76,38.0,7.03,2016,-
"Donnell Greene",OL,"35 1/4",77,39.7,Undrafted,2019,"9 1/2"
"Donovan Smith",OL,"34 3/8",78,39.1,2.02,2015,"10 5/8"
"Dorian Johnson",OL,"35 1/4",77,35.6,4.07,2017,"10 7/8"
"Doug Free",OL,-,78,37.4,4.22,2007,-
"Drew Forbes",OL,"32 5/8",77,36.5,6.16,2019,"10    "
"Dru Samia",OL,"33    ",77,36.2,4.12,2019,"10 1/8"
"Duane Brown",OL,-,76,38.3,1.26,2008,-
"Dustin Stanton",OL,"32 3/8",78,34.4,Undrafted,2017,"9    "
"Earl Watford",OL,"34    ",75,37.5,4.19,2013,"10    "
"Elgton Jenkins",OL,"34    ",76,37.7,2.12,2019,"10 1/4"
"Elijah Nkansah",OL,"34    ",77,35.3,Undrafted,2018,"9 3/8"
"Elijah Wilkinson",OL,-,77,38.9,Undrafted,2017,-
"Emmett Cleary",OL,"34 1/4",79,35.6,Undrafted,2013,"9 3/4"
"Ereck Flowers",OL,"34 1/2",78,38.0,1.09,2015,"9 7/8"
"Eric Fisher",OL,"34 1/2",79,34.5,1.01,2013,"10 1/2"
"Eric Kush",OL,"33 3/8",76,37.0,6.02,2014,"9 5/8"
"Eric Smith",OL,-,76,38.0,Undrafted,2017,-
"Eric Winston",OL,-,79,34.9,3.02,2006,-
"Eric Wood",OL,-,76,37.7,1.28,2009,-
"Erik Austell",OL,"32    ",75,37.6,Undrafted,2017,"9    "
"Erik Magnuson",OL,-,77,36.2,Undrafted,2017,-
"Erik McCoy",OL,"33    ",76,36.9,2.16,2019,"9 5/8"
"Ethan Cooper",OL,"32 5/8",74,41.3,Undrafted,2017,"10 3/8"
"Ethan Greenidge",OL,"34 3/4",76,39.8,Undrafted,2019,"10 3/8"
"Ethan Pocic",OL,"33 1/8",78,35.8,Undrafted,2017,"10 1/8"
"Evan Boehm",OL,"31 5/8",74,38.8,4.29,2016,"10 1/4"
"Evan Brown",OL,"32 1/2",74,38.8,Undrafted,2018,"10    "
"Evan Mathis",OL,-,77,36.0,3.14,2005,-
"Evan Smith",OL,-,74,37.6,Undrafted,2009,-
"Fahn Cooper",OL,"34 3/4",76,36.9,5.34,2016,"10    "
"Forrest Lamp",OL,"32 1/4",76,37.6,2.06,2017,"10 5/8"
"Frank Ragnow",OL,"33 1/8",77,37.0,1.20,2018,"9 3/8"
"Fred Johnson",OL,"34    ",79,36.7,Undrafted,2019,"10 5/8"
"Gabe Ikard",OL,"33 1/8",76,37.0,Undrafted,2014,"9 5/8"
"Gabe Jackson",OL,"33 3/4",75,42.0,3.17,2014,"10    "
"Garett Bolles",OL,"34    ",77,35.2,1.20,2017,"9 3/8"
"Garrett Bradbury",OL,"31 3/4",75,38.2,1.18,2019,"10 1/2"
"Garry Gilliam",OL,-,78,35.4,Undrafted,2014,-
"Geoff Gray",OL,-,77,37.3,Undrafted,2017,-
"George Asafo-Adjei",OL,"33 1/4",77,36.3,7.18,2019,"10 1/8"
"George Fant",OL,-,77,35.1,Undrafted,2016,-
"Germain Ifedi",OL,"36    ",77,38.4,1.31,2016,"10 3/4"
"Geron Christian",OL,"35    ",77,35.3,3.10,2018,"10 3/4"
"Gino Gradkowski",OL,-,75,37.5,4.03,2012,-
"Givens Price",OL,"34 3/4",76,36.3,Undrafted,2016,"10 1/4"
"Gosder Cherilus",OL,-,79,35.4,1.17,2008,-
"Graham Glasgow",OL,"33 5/8",77,36.4,3.31,2016,"10 3/4"
"Greg Little",OL,"35 1/4",77,36.8,2.05,2019,"10 1/4"
"Greg Mancz",OL,-,76,36.6,Undrafted,2015,"10    "
"Greg Robinson",OL,"35    ",77,39.4,1.02,2014,"10    "
"Greg Senat",OL,"34 7/8",78,34.9,6.38,2018,"9 7/8"
"Greg Van Roten",OL,-,75,37.9,Undrafted,2012,-
"Halapoulivaati Vaitai",OL,"34 1/4",78,37.0,5.24,2016,"10 5/8"
"Hjalte Froholdt",OL,"31 1/4",77,36.3,4.16,2019,"9 3/4"
"Hroniss Grasu",OL,"32 1/8",75,37.1,3.07,2015,"10 1/4"
"Hugh Thornton",OL,"34 1/6",75,40.0,3.24,2013,"10    "
"Ian Silberman",OL,-,77,36.3,6.14,2015,-
"Isaac Asiata",OL,"33 3/4",75,40.4,5.20,2017,"10 3/8"
"Isaac Seumalo",OL,"33    ",75,37.9,3.16,2016,"9 7/8"
"Isaiah Battle",OL,-,78,35.6,"Supplemental Rd. 5",2015,-
"Isaiah Prince",OL,"35 1/2",78,35.2,6.29,2019,"10 1/8"
"Isaiah Williams",OL,-,75,38.4,Undrafted,2016,-
"Isaiah Wynn",OL,"33 3/8",75,39.1,1.23,2018,"8 1/2"
"J'Marcus Webb",OL,-,79,36.9,7.11,2010,-
"J.C. Tretter",OL,"33 3/8",76,37.4,4.25,2013,"10 1/8"
"J.J. Dielman",OL,"32 1/4",77,36.6,5.32,2017,"10    "
"J.P. Flynn",OL,-,78,35.8,Undrafted,2017,-
"J.R. Sweezy",OL,"34    ",77,35.3,7.18,2012,"9 5/8"
"Ja'Wuan James",OL,"35    ",79,34.6,1.19,2014,"9 7/8"
"Jack Allen",OL,"32 1/4",73,38.8,Undrafted,2016,"10 1/8"
"Jack Conklin",OL,"35    ",77,36.5,1.08,2016,"10 3/8"
"Jack Mewhort",OL,"34    ",78,35.7,2.27,2014,"9 3/4"
"Jackson Barton",OL,"34    ",79,34.9,7.26,2019,"9 1/4"
"Jah Reid",OL,"34 3/8",79,36.8,3.21,2011,"10 1/4"
"Jahri Evans",OL,"32 1/4",76,38.7,4.11,2006,"9 3/4"
"Jake Brendel",OL,-,76,36.9,Undrafted,2016,-
"Jake Eldrenkamp",OL,-,77,35.6,Undrafted,2017,-
"Jake Matthews",OL,"33 3/8",77,36.5,1.06,2014,"9 7/8"
"Jake Rodgers",OL,-,77,37.3,7.08,2015,-
"Jamarco Jones",OL,"35 1/8",76,36.4,5.31,2018,"9 1/2"
"James Carpenter",OL,"34    ",76,39.1,1.25,2011,"9 3/4"
"James Daniels",OL,"33 3/4",75,38.2,2.07,2018,"9 1/2"
"James Ferentz",OL,-,74,36.6,Undrafted,2013,-
"James Hurst",OL,"33 3/4",77,35.1,Undrafted,2014,"10 1/8"
"James Stone",OL,"33 7/8",75,36.2,Undrafted,2014,"10 1/8"
"Jamil Demby",OL,"33 3/4",77,37.8,6.18,2018,"10 3/4"
"Jamil Douglas",OL,"33 3/8",76,37.0,4.15,2015,"10 3/4"
"Jamon Brown",OL,"34 3/8",76,39.3,3.08,2015,"9 3/4"
"Jared Veldheer",OL,"33    ",80,34.3,3.05,2010,-
"Jarron Jones",OL,"35 1/2",78,37.0,Undrafted,2017,"10 1/2"
"Jaryd Jones-Smith",OL,"36 1/4",79,35.7,Undrafted,2018,"10    "
"Jason Kelce",OL,"32 1/2",75,35.0,6.26,2011,"9 1/2"
"Jason King",OL,-,76,37.7,Undrafted,2017,-
"Jason Peters",OL,"33 1/8",76,39.9,Undrafted,2004,"9 3/8"
"Jason Spriggs",OL,"34 1/8",77,35.7,2.17,2016,"10 1/8"
"Jason Weaver",OL,"34    ",76,38.1,Undrafted,2013,"9 1/4"
"Javarius Leamon",OL,"35 1/4",79,37.4,Undrafted,2017,"9 5/8"
"Javon Patterson",OL,"32 1/2",75,38.4,7.32,2019,"9    "
"Jawaan Taylor",OL,"35 1/8",77,37.0,2.03,2019,"10    "
"Jeff Allen",OL,"33 1/2",76,37.4,2.12,2012,"10    "
"Jerald Hawkins",OL,"34 1/4",77,36.2,4.24,2016,"9 5/8"
"Jeremiah Poutasi",OL,"33 7/8",77,39.7,3.02,2015,"9 1/2"
"Jeremiah Sirles",OL,"34 1/8",78,36.4,Undrafted,2014,"9    "
"Jeremy Vujnovich",OL,"32 3/4",77,34.4,Undrafted,2013,"9 5/8"
"Jeremy Zuttah",OL,-,76,36.9,3.20,2008,-
"Jermaine Eluemunor",OL,"33 1/4",76,40.4,5.15,2017,"9 1/2"
"Jermey Parnell",OL,-,78,37.7,Undrafted,2009,-
"Jermon Bushrod",OL,"34 1/2",77,37.7,4.26,2007,"0    "
"Jerry Ugokwe",OL,"35 3/8",79,36.2,Undrafted,2017,"10 3/8"
"Jessamen Dunker",OL,"33 1/2",76,38.7,Undrafted,2017,"10    "
"Jesse Davis",OL,-,78,37.1,Undrafted,2015,-
"Jimmy Murray",OL,"32 1/8",77,36.2,Undrafted,2018,"10    "
"Joe Barksdale",OL,"36    ",77,38.7,3.28,2011,"10    "
"Joe Berger",OL,-,78,35.0,6.33,2005,-
"Joe Cheek",OL,"32 3/4",78,34.7,Undrafted,2016,"9 1/4"
"Joe Dahl",OL,"33 1/8",76,37.0,5.12,2016,"9 1/8"
"Joe Haeg",OL,"33 3/4",78,35.1,5.17,2016,"9 5/8"
"Joe Hawley",OL,"33 1/8",75,37.1,4.19,2010,"10 5/8"
"Joe Looney",OL,"32 1/4",75,38.6,4.22,2012,"9 3/4"
"Joe Staley",OL,-,78,35.4,1.28,2007,-
"Joe Thomas",OL,-,79,35.0,1.03,2007,-
"Joe Thuney",OL,"32 1/4",76,37.0,3.15,2016,"9 5/8"
"Joel Bitonio",OL,"33 7/8",76,36.8,2.03,2014,"9 5/8"
"Joey Hunt",OL,"10 1/4",74,38.4,6.04,2016,"9 7/8"
"John Fullington",OL,"33 1/2",77,35.6,Undrafted,2014,"10 3/4"
"John Greco",OL,-,77,36.2,3.02,2008,-
"John Jerry",OL,"34    ",77,38.9,3.09,2010,"9 3/4"
"John Kling",OL,"34 3/8",79,35.3,Undrafted,2016,"10 1/8"
"John Miller",OL,"33 1/4",74,38.9,3.17,2015,"10 1/4"
"John Sullivan",OL,"31 1/2",76,37.7,6.21,2008,"10    "
"John Theus",OL,"34 1/2",78,36.2,5.06,2016,"10 1/8"
"John Urschel",OL,"33    ",75,39.1,5.35,2014,"10 3/8"
"John Wetzel",OL,"34    ",79,35.5,Undrafted,2013,"10    "
"Jon Feliciano",OL,"32 3/8",76,39.3,4.29,2015,"9 3/4"
"Jon Halapio",OL,"33 5/8",75,39.4,6.03,2014,"10 1/4"
"Jon Toth",OL,"33 5/8",77,36.4,Undrafted,2017,"10    "
"Jonah Williams",OL,"33 5/8",76,36.8,1.11,2019,"10 1/8"
"Jonathan Cooper",OL,"33    ",74,39.9,1.07,2013,"10 1/4"
"Jonotthan Harrison",OL,"33 3/8",75,38.0,Undrafted,2014,"9 7/8"
"Jordan Devey",OL,"32 2/3",79,35.7,Undrafted,2013,"9 5/8"
"Jordan Mailata",OL,"35 1/2",80,38.0,7.15,2018,-
"Jordan Mills",OL,"34    ",77,37.5,5.30,2013,"9 3/4"
"Jordan Morgan",OL,"34 5/8",75,38.6,5.03,2017,"10    "
"Jordan Roos",OL,-,75,37.7,Undrafted,2017,-
"Jordan Simmons",OL,-,75,42.4,Undrafted,2017,-
"Joseph Noteboom",OL,"34 3/8",77,36.6,3.25,2018,"9 5/8"
"Josh Allen",OL,"34 1/4",75,39.0,Undrafted,2014,"10 3/4"
"Josh Andrews",OL,-,74,39.9,Undrafted,2014,-
"Josh Harris",OL,"30 1/2",73,33.2,Undrafted,2012,"9    "
"Josh James",OL,-,77,37.3,Undrafted,2016,-
"Josh Kline",OL,"31 3/8",75,37.5,Undrafted,2013,"9 1/4"
"Josh LeRibeus",OL,"32 1/2",74,40.4,3.08,2012,"9 3/8"
"Josh Sitton",OL,-,75,40.0,4.37,2008,-
"Josh Walker",OL,"33 1/2",77,39.1,Undrafted,2014,"9    "
"Josh Wells",OL,-,78,35.4,Undrafted,2014,-
"Joshua Garnett",OL,"33 7/8",76,38.0,1.28,2016,"10 1/8"
"Joshua Miles",OL,"35 5/8",77,37.2,7.34,2019,"10 3/4"
"Josue Matias",OL,"33 1/8",77,36.6,Undrafted,2015,"10    "
"Julie'n Davenport",OL,"36 1/2",79,35.8,4.24,2017,"10 1/2"
"Justin Britt",OL,"33 1/2",78,37.6,2.32,2014,"10 1/4"
"Justin McCray",OL,-,75,40.1,Undrafted,2014,-
"Justin Murray",OL,-,77,36.0,Undrafted,2016,-
"Justin Pugh",OL,"32    ",77,36.4,1.19,2013,"10 1/4"
"Justin Senior",OL,"34    ",77,39.2,6.26,2017,"10 1/4"
"Justin Skule",OL,"33 7/8",79,36.0,6.10,2019,"10    "
"Jylan Ware",OL,-,79,35.7,7.13,2017,-
"K.J. Malone",OL,"33 1/2",76,36.9,Undrafted,2018,"9 1/4"
"KC McDermott",OL,"32 1/2",78,35.9,Undrafted,2018,"9 3/4"
"Kadeem Edwards",OL,"35 3/8",76,38.3,5.03,2014,"9 3/8"
"Kahlil McKenzie",OL,"31 1/2",75,39.2,6.24,2018,"10 1/8"
"Kaleb Johnson",OL,-,76,36.5,Undrafted,2015,-
"Kaleb McGary",OL,"32 7/8",79,35.7,1.31,2019,"10 1/8"
"Kelechi Osemele",OL,"35 7/8",78,38.5,2.28,2012,"10 1/4"
"Kelvin Beachum",OL,"33 1/4",75,37.9,7.41,2012,"9 3/8"
"Kendall Lamm",OL,-,77,35.9,Undrafted,2015,-
"Kenny Wiggins",OL,-,78,36.3,Undrafted,2011,-
"Kent Perkins",OL,-,77,37.9,Undrafted,2017,-
"Kevin Bowen",OL,"34    ",81,37.1,Undrafted,2016,"10 1/2"
