"Full Name",Position,"Birth Date",Age,"Hand Size","Arm Length",College,Height,BMI,"Draft Pick","Height (Inches)",Team
"Bra'lon Cherry",WR,7/24/1995,23.7,"8 1/2","30 7/8","NC State","5' 11""",26.2,Undrafted,71,-
"Brad Smith",WR,12/12/1983,35.3,-,-,Missouri,"6' 2""",27.2,4.06,74,-
"Bradley Marquez",WR,12/14/1992,26.3,"9    ","30 1/2","Texas Tech","5' 11""",28.0,Undrafted,71,-
"Braelon Roberts",WR,8/25/1994,24.6,"8 3/8","33    ","Utah State","6' 3""",25.2,Undrafted,75,-
"Brandin Cooks",WR,9/25/1993,25.5,"9 5/8","30 3/4","Oregon State","5' 10""",27.1,1.20,70,"Los Angeles Rams"
"Brandon Coleman",WR,6/22/1992,26.7,"9 1/4","34    ",Rutgers,"6' 6""",26.0,Undrafted,78,-
"Brandon Gibson",WR,8/13/1987,31.6,-,"32    ","Washington State","6' 0""",28.5,6.21,72,-
"Brandon LaFell",WR,11/4/1986,32.4,"8 3/4","32 3/4",LSU,"6' 2""",27.1,3.14,74,-
"Brandon Lloyd",WR,7/5/1981,37.7,"9    ","31 1/4",Illinois,"6' 0""",27.1,4.25,72,-
"Brandon Marshall",WR,3/23/1984,35.0,"8 7/8","32 5/8","Central Florida","6' 4""",28.0,4.22,76,-
"Brandon Powell",WR,9/12/1995,23.5,"8 7/8","29 1/4",Florida,"5' 8""",27.5,Undrafted,68,"Detroit Lions"
"Brandon Reilly",WR,9/24/1993,25.5,"8 7/8","29 1/4",Nebraska,"6' 2""",25.9,Undrafted,74,"Detroit Lions"
"Brandon Shippen",WR,5/17/1994,24.8,"9    ","30 3/8",Temple,"5' 11""",27.2,Undrafted,71,-
"Brandon Tate",WR,10/5/1987,31.5,-,"30 3/4","North Carolina","6' 1""",25.7,3.19,73,-
"Brandon Zylstra",WR,3/24/1993,26.0,"9 1/4","31 1/4",Concordia,"6' 2""",27.5,Undrafted,74,"Minnesota Vikings"
"Braxton Berrios",WR,10/6/1995,23.5,"9 1/4","28    ",Miami,"5' 9""",27.2,6.36,69,"New England Patriots"
"Braxton Miller",WR,11/30/1992,26.3,"9 1/8","31 3/4","Ohio State","6' 1""",26.5,3.22,73,"Philadelphia Eagles"
"Brelan Chancellor",WR,8/6/1992,26.6,"9 5/8","30    ","North Texas","5' 9""",27.8,Undrafted,69,-
"Brenton Bersin",WR,5/9/1990,28.9,-,"31 1/4",Wofford,"6' 3""",26.4,Undrafted,75,-
"Breshad Perriman",WR,9/10/1993,25.5,"9 1/4","32    ",UCF,"6' 2""",27.2,1.26,74,"Tampa Bay Buccaneers"
"Brian Brown",WR,10/22/1994,24.4,"9    ","31 1/8",Richmond,"6' 1""",26.9,Undrafted,73,-
"Brian Hartline",WR,11/22/1986,32.3,"10    ","32    ","Ohio State","6' 2""",25.5,4.08,74,-
"Brian Quick",WR,6/5/1989,29.8,"9 3/4","34 1/4","Appalachian State","6' 3""",27.5,2.01,75,-
"Brian Tyms",WR,2/21/1989,30.1,-,"32 2/3","Florida A&M","6' 3""",25.5,Undrafted,75,-
"Brice Butler",WR,1/29/1990,29.1,"9 3/8","34 1/2","San Diego State","6' 3""",26.6,7.03,75,"Miami Dolphins"
"Brisly Estime",WR,12/1/1992,26.3,"8    ","29 3/4",Syracuse,"5' 8""",28.3,Undrafted,68,-
"Brittan Golden",WR,7/20/1988,30.7,-,-,"West Texas A&M","5' 11""",25.9,Undrafted,71,"New York Giants"
"Bruce Ellington",WR,8/22/1991,27.6,"9 5/8","31    ","South Carolina","5' 9""",29.1,4.06,69,"New England Patriots"
"Bryan Walters",WR,11/4/1987,31.4,-,-,Cornell,"6' 0""",25.8,Undrafted,72,-
"Bryant Mitchell",WR,8/16/1992,26.6,"9 1/2","32 3/8","Northwestern State","6' 1""",24.4,Undrafted,73,"Arizona Cardinals"
"Bryce Bobo",WR,6/21/1995,23.7,"10    ","32 7/8",Colorado,"6' 2""",26.2,Undrafted,74,-
"Bryce Treggs",WR,4/30/1994,24.9,"9 1/8","30 7/8",California,"5' 10""",26.5,Undrafted,70,-
"Bud Sasser",WR,5/29/1992,26.8,"10 1/8","33    ",Missouri,"6' 2""",27.7,6.25,74,-
"Bug Howard",WR,11/28/1994,24.3,"10 3/8","33 1/8","North Carolina","6' 4""",26.9,Undrafted,76,-
"Byron Pringle",WR,11/17/1993,25.3,"9 1/4","32    ","Kansas State","6' 1""",27.0,Undrafted,73,"Kansas City Chiefs"
"C.J. Board",WR,12/12/1993,25.3,"9 1/4","31 1/2","TN Chattanooga","6' 1""",23.9,Undrafted,73,"Jacksonville Jaguars"
"Caleb Holley",WR,12/26/1990,28.2,"9 3/4","31 5/8","East Central Okla","6' 2""",25.7,Undrafted,74,-
"Caleb Scott",WR,2/8/1996,23.1,"9    ","30 5/8",Vanderbilt,"6' 2""",26.1,Undrafted,74,"Seattle Seahawks"
"Calvin Johnson",WR,9/29/1985,33.5,"9 7/8","33 3/8","Georgia Tech","6' 5""",28.0,1.02,77,-
"Calvin Ridley",WR,12/20/1994,24.3,"9 1/8","31 5/8",Alabama,"6' 1""",24.9,1.26,73,"Atlanta Falcons"
"Cam Phillips",WR,12/16/1995,23.3,"8 7/8","30 1/2","Virginia Tech","6' 0""",27.0,Undrafted,72,"Buffalo Bills"
"Cam Sims",WR,1/6/1996,23.2,"9 5/8","33 1/4",Alabama,"6' 4""",25.8,Undrafted,76,Washington
"Cam Worthy",WR,4/6/1992,27.0,"10 1/8","33 1/2","East Carolina","6' 2""",27.1,Undrafted,74,-
"Cameron Batson",WR,12/20/1995,23.3,"9    ","28 7/8","Texas Tech","5' 8""",26.6,Undrafted,68,"Tennessee Titans"
"Cameron Meredith",WR,9/21/1992,26.5,"9 1/4","32 1/8","Illinois State","6' 3""",25.0,Undrafted,75,"New Orleans Saints"
"Canaan Severin",WR,3/16/1993,26.0,"9 3/4","33 1/8",Virginia,"6' 2""",27.2,Undrafted,74,-
"Carlos Henderson",WR,12/19/1994,24.3,"9 1/8","31 3/8","Louisiana Tech","5' 11""",27.8,3.18,71,-
"Carlton Agudosi",WR,2/1/1994,25.1,"9 1/2","35 1/2",Rutgers,"6' 5""",25.7,Undrafted,77,"Philadelphia Eagles"
"Cayleb Jones",WR,3/21/1993,26.0,"9 1/4","32 3/4",Arizona,"6' 3""",26.1,Undrafted,75,-
"Cecil Shorts",WR,12/22/1987,31.3,"9 1/4","31 5/8","Mount Union","6' 0""",27.8,4.17,72,-
"Cedrick Wilson",WR,11/20/1995,23.3,"9 3/4","31 1/2","Boise State","6' 2""",24.1,6.34,74,"Dallas Cowboys"
"Chad Beebe",WR,6/1/1994,24.8,"9 1/8","27 7/8","Northern Illinois","5' 10""",25.5,Undrafted,70,"Minnesota Vikings"
"Chad Hansen",WR,1/18/1995,24.2,"10 1/8","32 1/8",California,"6' 2""",25.9,4.35,74,"Denver Broncos"
"Chad Williams",WR,10/19/1994,24.4,"9 3/4","32    ",Grambling,"6' 0""",28.1,3.34,72,"Arizona Cardinals"
"Chance Allen",WR,1/11/1994,25.2,"9 1/2","32 7/8",Houston,"6' 1""",27.3,Undrafted,73,-
"Chandler Jones",WR,11/28/1991,27.3,"8 1/2","29 1/2","San Jose State","5' 11""",24.3,Undrafted,71,-
"Charles Johnson",WR,2/27/1989,30.1,"9 1/4","30 1/2","Grand Valley","6' 2""",27.6,7.10,74,-
"Charone Peake",WR,10/16/1992,26.4,"9 1/4","34    ",Clemson,"6' 2""",26.8,7.20,74,"New York Jets"
"Chester Rogers",WR,1/12/1994,25.2,"7 1/2","30 1/8","Grambling State","6' 0""",25.1,Undrafted,72,-
"Chris Boyd",WR,12/16/1991,27.3,"9 5/8","32 5/8",Vanderbilt,"6' 4""",25.1,Undrafted,76,-
"Chris Brown",WR,12/8/1994,24.3,"9    ","32 1/4","Notre Dame","6' 2""",24.9,Undrafted,74,-
"Chris Conley",WR,10/25/1992,26.4,"9 7/8","33 3/4",Georgia,"6' 2""",27.3,3.12,74,-
"Chris D. Harper",WR,9/10/1989,29.5,"9 3/4","32 3/4","Kansas State","6' 1""",30.2,4.26,73,-
"Chris Fields",WR,-,-,"8 7/8","31    ","Ohio State","6' 0""",26.9,Undrafted,72,-
"Chris Givens",WR,1/28/1989,30.1,"8 1/4","31 1/4","Wake Forest","5' 11""",27.6,4.01,71,-
"Chris Godwin",WR,2/27/1996,23.1,"9 1/8","31 5/8","Penn State","6' 1""",27.6,3.20,73,"Tampa Bay Buccaneers"
"Chris Harper",WR,12/7/1993,25.3,"9 1/8","31 7/8",California,"6' 0""",24.4,Undrafted,72,-
"Chris Hogan",WR,10/24/1988,30.4,-,-,Monmouth,"6' 1""",29.0,Undrafted,73,-
"Chris Lacy",WR,1/28/1996,23.1,"9 3/4","31 1/4","Oklahoma State","6' 3""",25.6,Undrafted,75,"Detroit Lions"
"Chris Matthews",WR,10/6/1989,29.5,-,-,Kentucky,"6' 5""",25.8,Undrafted,77,-
"Chris Moore",WR,6/16/1993,25.8,"9 3/8","33 3/8",Cincinnati,"6' 1""",27.2,4.09,73,"Baltimore Ravens"
"Chris Owusu",WR,1/6/1990,29.2,"8 1/2","31 3/4",Stanford,"6' 0""",27.1,Undrafted,72,-
"Chris Summers",WR,7/10/1989,29.7,-,"32 3/4",Liberty,"6' 5""",25.3,Undrafted,77,-
"Chris Thompson",WR,5/9/1994,24.9,"9 1/4","31 1/8","Florida ","5' 11""",23.8,Undrafted,71,-
"Chris Williams",WR,9/16/1987,31.5,-,-,"New Mexico State","5' 8""",26.6,Undrafted,68,-
"Christian Blake",WR,6/8/1996,22.8,"9 3/8","31 5/8","Northern Illinois","6' 0""",24.3,Undrafted,72,"Atlanta Falcons"
"Christian Kirk",WR,11/18/1996,22.3,"9 7/8","30 3/8","Texas A&M","5' 10""",28.8,2.15,70,"Arizona Cardinals"
"Christion Jones",WR,12/20/1992,26.3,"9    ","30    ",Alabama,"5' 10""",26.1,Undrafted,70,-
"Chuck Jacobs",WR,5/11/1990,28.9,"8 1/2","30 3/4","Utah State","6' 0""",24.1,Undrafted,72,-
"Clyde Gates",WR,6/13/1986,32.8,"9 1/4","30 1/2","Abilene Christian","6' 0""",25.8,Undrafted,72,-
"Cobi Hamilton",WR,11/13/1990,28.4,"8 3/4","32 1/2",Arkansas,"6' 2""",27.2,6.29,74,-
"Cody Core",WR,4/17/1994,24.9,"10 3/8","32    ",Mississippi,"6' 3""",25.6,6.24,75,"Cincinnati Bengals"
"Cody Hoffman",WR,3/13/1991,28.0,"9 3/4","33 1/4",BYU,"6' 4""",27.1,Undrafted,76,-
"Cody Hollister",WR,11/18/1993,25.3,"9 5/8","31 3/4",Arkansas,"6' 3""",26.7,Undrafted,75,-
"Cody Latimer",WR,10/10/1992,26.4,"9 5/8","32 5/8",Indiana,"6' 2""",27.6,2.24,74,"New York Giants"
"Cody Thompson",WR,1/11/1996,23.2,"9 3/8","31    ",Toledo,"6' 1""",27.0,-,73,-
"Colby Pearson",WR,1/19/1995,24.2,"9 3/8","31 3/8",BYU,"6' 0""",26.3,Undrafted,72,-
"Cole Beasley",WR,4/26/1989,29.9,-,"28 7/8",SMU,"5' 8""",26.9,Undrafted,68,"Buffalo Bills"
"Colin Lockett",WR,4/5/1991,28.0,"8 1/2","30 1/8","San Diego State","5' 11""",26.2,Undrafted,71,-
"Cooper Kupp",WR,6/15/1993,25.8,"9 1/2","31 1/2","E. Washington","6' 2""",26.2,3.05,74,"Los Angeles Rams"
"Cordarrelle Patterson",WR,3/17/1991,28.0,"9    ","31 3/4",Tennessee,"6' 2""",27.7,1.29,74,"Chicago Bears"
"Corey Brown",WR,1/23/1991,28.2,"9 3/8","31 3/4","Ohio State","5' 11""",24.8,Undrafted,71,-
"Corey Coleman",WR,7/2/1994,24.7,"9    ","30 1/4",Baylor,"5' 11""",27.1,1.15,71,"New York Giants"
"Corey Davis",WR,1/11/1995,24.2,"9 1/8","33    ","Western Michigan","6' 3""",26.1,1.05,75,"Tennessee Titans"
"Corey Fuller",WR,6/23/1990,28.7,"9 1/2","33 1/4","Virginia Tech","6' 2""",26.2,6.03,74,-
"Corey Smith",WR,3/1/1993,26.1,"9 1/8","30 5/8","Ohio State","6' 0""",24.8,Undrafted,72,-
"Corey Washington",WR,12/29/1991,27.2,"9 1/4","33    ","Newberry College","6' 4""",26.0,Undrafted,76,-
"Corey Willis",WR,5/2/1995,23.9,"9 1/8","29 1/2","Central Michigan","5' 10""",26.1,Undrafted,70,-
"Courtland Sutton",WR,10/10/1995,23.4,"9 3/4","32 3/8",SMU,"6' 3""",27.2,2.08,75,"Denver Broncos"
"Courtney Roby",WR,1/10/1983,36.2,"9 5/8","31 3/8",Indiana,"6' 0""",25.6,3.04,72,-
"Curtis Samuel",WR,8/11/1996,22.6,"9 1/2","31 1/4","Ohio State","5' 11""",27.3,2.08,71,"Carolina Panthers"
"Cyril Grayson",WR,12/5/1993,25.3,-,-,LSU,"5' 9""",27.0,Undrafted,69,"Chicago Bears"
"D.J. Chark",WR,9/23/1996,22.5,"9 1/4","32 3/8",LSU,"6' 3""",24.9,2.29,75,"Jacksonville Jaguars"
"D.J. Coles",WR,9/29/1989,29.5,"10    ","33 1/4","Virginia Tech","6' 3""",28.1,Undrafted,75,-
"D.J. Moore",WR,4/14/1997,21.9,"9 5/8","31 5/8",Maryland,"6' 0""",28.5,1.24,72,"Carolina Panthers"
"D.K. Metcalf",WR,12/14/1997,21.3,"9 7/8","34 7/8",Mississippi,"6' 3""",28.5,-,75,-
"Da'Mari Scott",WR,8/8/1995,23.6,"9    ","31 3/4","Fresno State","6' 0""",27.8,Undrafted,72,"Buffalo Bills"
"Da'Rick Rogers",WR,6/18/1991,27.8,"9 1/2","32 3/4","Tennessee Tech","6' 2""",27.9,Undrafted,74,-
"Da'Ron Brown",WR,9/21/1991,27.5,"10 1/4","32    ","Northern Illinois","6' 0""",27.8,7.16,72,-
"DaMarkus Lodge",WR,5/12/1997,21.9,"9 1/2","33 1/8",Mississippi,"6' 2""",25.9,-,74,-
"DaVaris Daniels",WR,12/18/1992,26.3,"9    ","31 1/4","Notre Dame","6' 1""",26.5,Undrafted,73,-
"DaeSean Hamilton",WR,3/10/1995,24.0,"9 3/8","31    ","Penn State","6' 1""",26.8,4.13,73,"Denver Broncos"
"Daikiel Shorts",WR,10/6/1994,24.5,"9 1/4","31    ","West Virginia","6' 0""",26.6,Undrafted,72,-
"Damaris Johnson",WR,11/22/1989,29.3,-,"27 3/8",Tulsa,"5' 8""",26.6,Undrafted,68,-
"Damarr Aultman",WR,1/13/1992,27.2,"9 1/2","30 1/8",Maine,"5' 11""",27.6,Undrafted,71,-
"Damian Copeland",WR,10/17/1990,28.4,"9    ","31 3/8",Louisville,"5' 11""",25.7,Undrafted,71,-
"Damian Williams",WR,5/26/1988,30.8,"9 1/4","31 3/4",USC,"6' 1""",26.3,3.13,73,-
"Damiere Byrd",WR,1/27/1993,26.1,"8    ","29 7/8","South Carolina","5' 9""",23.9,Undrafted,69,"Carolina Panthers"
"Damion Ratley",WR,4/16/1995,23.9,"9 1/2","31    ","Texas A&M","6' 2""",25.2,6.01,74,"Cleveland Browns"
"Damond Powell",WR,10/31/1992,26.4,"8 7/8","30 3/8",Iowa,"5' 11""",24.8,Undrafted,71,-
"Damore'ea Stringfellow",WR,10/18/1994,24.4,"10 5/8","33 1/4",Mississippi,"6' 2""",28.0,Undrafted,74,-
"Damoun Patterson",WR,9/16/1994,24.5,"8 5/8","30 3/8","Youngstown State","6' 0""",26.0,Undrafted,72,"New England Patriots"
"Danario Alexander",WR,8/7/1988,30.6,"10    ","34 3/4",Missouri,"6' 5""",26.2,Undrafted,77,-
"Dane Sanzenbacher",WR,10/13/1988,30.4,"8 1/4","30 1/2","Ohio State","5' 11""",25.1,Undrafted,71,-
"Daniel Braverman",WR,9/28/1993,25.5,"9 1/8","28 3/4","Western Michigan","5' 10""",25.1,7.09,70,-
"Daniel Williams",WR,8/6/1995,23.6,"9 1/2","32 1/2","Jackson State","6' 2""",30.0,Undrafted,74,-
"Danny Amendola",WR,11/2/1985,33.4,-,-,"Texas Tech","5' 10""",26.7,Undrafted,70,"Detroit Lions"
"Danny Coale",WR,6/27/1988,30.7,"9 1/8","30 5/8","Virginia Tech","6' 0""",25.8,5.17,72,-
"Dante Pettis",WR,10/23/1995,23.4,"9 1/2","32 1/4",Washington,"6' 1""",24.5,2.12,73,"San Francisco 49ers"
"Darius Davis",WR,3/14/1990,29.0,"9 3/8","30 5/8","Henderson State","5' 11""",29.6,Undrafted,71,-
"Darius Jennings",WR,6/28/1992,26.7,"8 3/8","28 1/2",Virginia,"5' 10""",24.2,Undrafted,70,"Tennessee Titans"
"Darius Johnson",WR,2/22/1991,28.1,"9 1/8","30 1/4",SMU,"5' 9""",26.4,Undrafted,69,-
"Darius Powe",WR,3/15/1994,25.0,"9 1/8","31 5/8","California ","6' 3""",27.5,Undrafted,75,-
"Darius Slayton",WR,-,-,"10    ","32 3/4",Auburn,"6' 1""",25.1,-,73,-
"Darren Andrews",WR,8/5/1995,23.6,"9 1/8","29 3/4",UCLA,"5' 10""",28.3,Undrafted,70,-
"Darren Carrington",WR,10/11/1994,24.4,"10 3/8","32 3/4",Utah,"6' 2""",25.5,Undrafted,74,-
"Darreus Rogers",WR,9/3/1993,25.5,"10 1/8","32    ",USC,"6' 1""",28.5,Undrafted,73,-
"Darrius Heyward-Bey",WR,2/26/1987,32.1,"9    ","33 5/8",Maryland,"6' 2""",27.0,1.07,74,-
"Darryl Surgent",WR,5/13/1992,26.9,"9 1/4","31 3/4",Louisiana-Lafayette,"5' 11""",26.5,Undrafted,71,-
"Darvin Kidsy",WR,3/19/1995,24.0,-,-,"Texas Southern","6' 0""",24.4,Undrafted,72,Washington
"Daurice Fountain",WR,12/22/1995,23.2,"10 1/8","34    ","Northern Iowa","6' 1""",27.2,5.22,73,"Indianapolis Colts"
"Davante Adams",WR,12/24/1992,26.2,"9    ","32 5/8","Fresno State","6' 1""",28.0,2.21,73,"Green Bay Packers"
"David Gettis",WR,8/27/1987,31.6,"10    ","34    ",Baylor,"6' 3""",27.1,6.29,75,-
"David Moore",WR,1/16/1995,24.2,"9 1/2","30 5/8","East Central Okla","6' 1""",28.9,7.08,73,"Seattle Seahawks"
"David Nelson",WR,11/7/1986,32.4,-,-,Florida,"6' 5""",25.4,Undrafted,77,-
"David Reed",WR,3/22/1987,32.0,"9 3/8","31 3/4",Utah,"6' 0""",25.8,5.25,72,-
"David Richards",WR,5/4/1993,25.9,"9 3/8","31 1/2",Arizona,"6' 3""",25.6,Undrafted,75,-
"David Sills",WR,5/29/1996,22.8,"9    ","32    ","West Virginia","6' 3""",26.4,-,75,-
