"Full Name",Position,College,Weight,"Draft Year","Birth Date"
"Bilal Powell",RB,Louisville,"204 lbs",2011,10/27/88
"Bishop Sankey",RB,Washington,"209 lbs",2014,9/15/92
"Blake Sims",RB,Alabama,"218 lbs",2015,1/3/92
"Bo Scarbrough",RB,Alabama,"228 lbs",2018,9/29/96
"Bobby Rainey",RB,"Western Kentucky","212 lbs",2012,10/16/87
"Boom Williams",RB,Kentucky,"190 lbs",2017,9/30/95
"Boston Scott",RB,"Louisiana Tech","195 lbs",2018,4/27/95
"Bralon Addison",RB,Oregon,"197 lbs",2016,10/20/93
"Branden Oliver",RB,Buffalo,"208 lbs",2014,5/7/91
"Brandon Bolden",RB,Mississippi,"215 lbs",2012,1/26/90
"Brandon Burks",RB,Troy,"208 lbs",2016,11/1/93
"Brandon Radcliff",RB,Louisville,"206 lbs",2017,3/18/93
"Brandon Wegher",RB,Morningside,"213 lbs",2015,12/9/90
"Brandon Wilds",RB,"South Carolina","220 lbs",2016,7/22/93
"Braylon Heard",RB,Kentucky,"198 lbs",2015,10/11/91
"Brennan Clay",RB,Oklahoma,"203 lbs",2014,12/12/91
"Brian Hill",RB,Wyoming,"219 lbs",2017,11/9/95
"Bronson Hill",RB,"Eastern Michigan","215 lbs",2015,1/2/93
"Bruce Anderson",RB,"North Dakota State",-,2019,6/20/97
"Bryce Brown",RB,"Kansas State","223 lbs",2012,5/14/91
"Bryce Love",RB,Stanford,"200 lbs",2019,7/8/97
"Buck Allen",RB,,,,
"Buddy Howell",RB,"Florida Atlantic","219 lbs",2018,3/27/96
"Byron Marshall",RB,Oregon,"201 lbs",2016,2/13/94
"C.J. Anderson",RB,California,"224 lbs",2013,2/10/91
"C.J. Ham",RB,Augustana,"231 lbs",2016,7/22/93
"C.J. Prosise",RB,"Notre Dame","220 lbs",2016,5/20/94
"C.J. Spiller",RB,Clemson,"196 lbs",2010,8/5/87
"Cameron Artis-Payne",RB,Auburn,"212 lbs",2015,6/23/90
"Cameron Marshall",RB,"Arizona State","217 lbs",2013,10/14/91
"Carlos Hyde",RB,"Ohio State","230 lbs",2014,9/20/91
"Cedric Peerman",RB,Virginia,"210 lbs",2009,10/10/86
"Charcandrick West",RB,"Abilene Christian","204 lbs",2014,6/2/91
"Charles Sims",RB,"West Virginia","214 lbs",2014,9/19/90
"Chase Edmonds",RB,Fordham,"205 lbs",2018,4/13/96
"Chris Carson",RB,"Oklahoma State","218 lbs",2017,9/16/94
"Chris Ivory",RB,"Tiffin State","222 lbs",2010,3/22/88
"Chris Johnson",RB,"East Carolina","191 lbs",2008,9/23/85
"Chris Ogbonnaya",RB,Texas,"225 lbs",2009,5/5/86
"Chris Polk",RB,Washington,"222 lbs",2012,12/16/89
"Chris Rainey",RB,Florida,"175 lbs",2012,3/2/88
"Chris Thompson",RB,"Florida State","192 lbs",2013,10/20/90
"Chris Warren",RB,Texas,"247 lbs",2018,6/6/96
"Christian McCaffrey",RB,Stanford,"202 lbs",2017,6/7/96
"Christian Powell",RB,Colorado,"229 lbs",2016,3/3/94
"Christine Michael",RB,"Texas A&M","220 lbs",2013,11/9/90
"Christopher Ezeala",RB,None,"243 lbs",2018,9/19/95
"Cierre Wood",RB,"Notre Dame","213 lbs",2013,2/21/91
"Corey Clement",RB,Wisconsin,"220 lbs",2017,11/2/94
"Corey Grant",RB,Auburn,"201 lbs",2015,12/19/91
"Cyrus Gray",RB,"Texas A&M","198 lbs",2012,11/18/89
"D'Angelo Brewer",RB,Tulsa,"190 lbs",2018,1/6/96
"D'Ernest Johnson",RB,USF,"200 lbs",2018,-
"D'Onta Foreman",RB,Texas,"233 lbs",2017,4/24/96
"D.J. Adams",RB,"Portland State","199 lbs",2014,9/27/90
"D.J. Foster",RB,"Arizona State","193 lbs",2016,11/22/93
"D.J. Knox",RB,Purdue,-,2019,11/27/95
"Da'Rel Scott",RB,Maryland,"210 lbs",2011,5/26/88
"Dalton Crossan",RB,"New Hampshire","205 lbs",2017,2/25/94
"Dalvin Cook",RB,"Florida State","210 lbs",2017,8/10/95
"Dalyn Dawkins",RB,"Colorado State","183 lbs",2018,12/12/94
"Damarea Crockett",RB,Missouri,-,2019,12/22/97
"Damien Harris",RB,Alabama,"216 lbs",2019,2/11/97
"Damien Williams",RB,Oklahoma,"222 lbs",2014,4/3/92
"Dan Herron",RB,"Ohio State","215 lbs",2012,3/21/89
"Dan Vitale",RB,Northwestern,"239 lbs",2016,10/26/93
"Daniel Lasco",RB,California,"209 lbs",2016,10/9/92
"Daniel Thomas",RB,"Kansas State","233 lbs",2011,10/29/87
"Danny Woodhead",RB,"Chadron State","195 lbs",2008,1/25/85
"Dare Ogunbowale",RB,Wisconsin,"213 lbs",2017,5/4/94
"Darius Jackson",RB,"Eastern Michigan","220 lbs",2016,12/1/93
"Darius Victor",RB,"Towson State","227 lbs",2017,3/6/94
"Darnell Woolfolk",RB,Army,-,2019,-
"Darrel Williams",RB,LSU,"225 lbs",2018,4/15/95
"Darrel Young",RB,Villanova,"251 lbs",2009,4/8/87
"Darrell Henderson",RB,Memphis,"208 lbs",2019,8/19/97
"Darren McFadden",RB,Arkansas,"210 lbs",2008,8/27/87
"Darren Sproles",RB,"Kansas State","185 lbs",2005,6/20/83
"Darrin Hall",RB,Pittsburgh,-,2019,9/6/96
"Darrin Reaves",RB,UAB,"214 lbs",2014,4/17/93
"Darwin Thompson",RB,"Utah State",-,2019,2/12/97
"Daryl Richardson",RB,"Abilene Christian","192 lbs",2012,4/12/90
"David Cobb",RB,Minnesota,"229 lbs",2015,6/3/93
"David Fluellen",RB,Toledo,"224 lbs",2014,1/29/92
"David Johnson",RB,"Northern Iowa","224 lbs",2015,12/16/91
"David Montgomery",RB,"Iowa State","222 lbs",2019,6/7/97
"David Williams",RB,Arkansas,"224 lbs",2018,6/17/94
"David Wilson",RB,"Virginia Tech","205 lbs",2012,6/15/91
"Davin Meggett",RB,Maryland,"219 lbs",2012,3/22/90
"De'Angelo Henderson",RB,"Coastal Carolina","208 lbs",2017,11/24/92
"De'Lance Turner",RB,"Alcorn State","216 lbs",2018,8/23/95
"De'Veon Smith",RB,Michigan,"223 lbs",2017,11/8/94
"DeAndre Washington",RB,"Texas Tech","204 lbs",2016,2/22/93
"DeAngelo Williams",RB,Memphis,"217 lbs",2006,4/25/83
"DeMarco Murray",RB,Oklahoma,"215 lbs",2011,2/12/88
"Dee Hart",RB,"Colorado State","199 lbs",2015,1/1/93
"Delone Carter",RB,Syracuse,"225 lbs",2011,6/22/87
"Demario Richard",RB,"Arizona State","218 lbs",2018,12/2/96
"Denard Robinson",RB,Michigan,"199 lbs",2013,9/22/90
"Dennis Johnson",RB,Arkansas,"193 lbs",2013,2/24/90
"Derek Watt",RB,Wisconsin,"234 lbs",2016,11/7/92
"Derrick Coleman",RB,UCLA,"233 lbs",2012,10/18/90
"Derrick Henry",RB,Alabama,"247 lbs",2016,7/17/94
"Derrius Guice",RB,LSU,"224 lbs",2018,6/21/97
"Desmond Martin",RB,"Wayne State","221 lbs",2015,3/20/92
"Detrez Newsome",RB,"Western Carolina","208 lbs",2018,3/6/94
"Devante Mays",RB,"Utah State","230 lbs",2017,5/26/94
"Devin Singletary",RB,"Florida Atlantic","203 lbs",2019,9/3/97
"Devine Ozigbo",RB,Nebraska,-,2019,10/6/96
"Devine Redding",RB,Indiana,"205 lbs",2017,2/5/96
"Devon Johnson",RB,Marshall,"238 lbs",2016,7/28/93
"Devonta Freeman",RB,"Florida State","206 lbs",2014,3/15/92
"Devontae Booker",RB,Utah,"219 lbs",2016,5/27/92
"Devwah Whaley",RB,Arkansas,-,2019,11/3/97
"Dexter McCluster",RB,Mississippi,"170 lbs",2010,8/25/88
"Dexter Williams",RB,"Notre Dame","212 lbs",2019,1/6/97
"Dillon Baxter",RB,"Baker University","197 lbs",2014,10/23/91
"Dimitri Flowers",RB,Oklahoma,"248 lbs",2018,1/20/96
"Diocemy Saint Juste",RB,Hawaii,"189 lbs",2018,-
"Dion Lewis",RB,Pittsburgh,"193 lbs",2011,9/27/90
"Dominick Bragalone",RB,Lehigh,-,2019,11/17/96
"Dominique Brown",RB,Louisville,"234 lbs",2015,12/27/91
"Dominique Williams",RB,Wagner,"205 lbs",2014,9/2/90
"Don Jackson",RB,Nevada,"205 lbs",2016,9/7/93
"Donald Brown",RB,Connecticut,"210 lbs",2009,4/11/87
"Donnel Pumphrey",RB,"San Diego State","176 lbs",2017,12/6/94
"Dontrell Hilliard",RB,Tulane,"202 lbs",2018,2/26/95
"Doug Martin",RB,"Boise State","223 lbs",2012,1/13/89
"Dreamius Smith",RB,"West Virginia","223 lbs",2015,9/8/92
"Dri Archer",RB,"Kent State","173 lbs",2014,8/9/91
"DuJuan Harris",RB,Troy,"197 lbs",2011,9/3/88
"Duke Johnson",RB,Miami,"207 lbs",2015,9/23/93
"Dwayne Washington",RB,Washington,"223 lbs",2016,4/24/94
"Eddie Lacy",RB,Alabama,"250 lbs",2013,6/2/90
"Edwin Baker",RB,"Michigan State","200 lbs",2012,6/1/91
"Elijah Holyfield",RB,Georgia,"217 lbs",2019,9/12/98
"Elijah Hood",RB,"North Carolina","232 lbs",2017,4/22/96
"Elijah McGuire",RB,"UL Lafayette","214 lbs",2017,6/1/94
"Elijah Wellman",RB,"West Virginia","241 lbs",2018,9/20/94
"Elijhaa Penny",RB,Idaho,"244 lbs",2016,8/17/93
"Evan Royster",RB,"Penn State","212 lbs",2011,11/26/87
"Ezekiel Elliott",RB,"Ohio State","225 lbs",2016,7/22/95
"Felix Jones",RB,Arkansas,"215 lbs",2008,5/8/87
"Fitzgerald Toussaint",RB,Michigan,"205 lbs",2014,5/4/90
"Fozzy Whittaker",RB,Texas,"202 lbs",2012,2/2/89
"Frank Gore",RB,Miami,"217 lbs",2005,5/14/83
"Fred Jackson",RB,"Coe College","215 lbs",2007,2/20/81
"George Atkinson III",RB,"Notre Dame","218 lbs",2014,11/29/92
"George Farmer",RB,USC,"205 lbs",2015,7/4/93
"George Winn",RB,Cincinnati,"210 lbs",2013,11/10/90
"Giovani Bernard",RB,"North Carolina","202 lbs",2013,11/22/91
"Glasco Martin",RB,Baylor,"217 lbs",2014,4/14/91
"Glenn Winston",RB,Northwood,"220 lbs",2014,4/29/89
"Gus Edwards",RB,Rutgers,"229 lbs",2018,4/13/95
"Gus Johnson",RB,"Stephen F. Austin","215 lbs",2015,8/10/93
"Henry Josey",RB,Missouri,"194 lbs",2014,9/25/91
"I'Tavius Mathers",RB,"Middle Tennessee","203 lbs",2017,11/19/93
"Ian Eriksen",RB,"Eastern Michigan",-,2019,2/28/98
"Isaiah Crowell",RB,"Alabama State","224 lbs",2014,1/8/93
"Isaiah Pead",RB,Cincinnati,"197 lbs",2012,12/14/89
"Isaiah Saunders",RB,Idaho,-,2019,6/7/95
"Ito Smith",RB,"S. Mississippi","200 lbs",2018,9/11/95
"Izzy Matthews",RB,"Colorado State",-,2019,6/30/97
"J.D. McKissic",RB,"Arkansas State","187 lbs",2016,8/15/93
"Jackie Battle",RB,Houston,"240 lbs",2007,10/1/83
"Jacques Patrick",RB,"Florida State",-,2019,1/7/97
"Jacquizz Rodgers",RB,"Oregon State","196 lbs",2011,2/6/90
"Jahad Thomas",RB,Temple,"190 lbs",2017,11/6/95
"Jahwan Edwards",RB,"Ball State","220 lbs",2015,7/27/92
"Jalen Parmele",RB,Toledo,"223 lbs",2008,12/30/85
"Jalen Rhodes",RB,UTSA,-,2019,6/6/94
"Jalen Richard",RB,"S Mississippi","207 lbs",2016,10/15/93
"Jalen Simmons",RB,"South Carolina State","220 lbs",2016,4/1/92
"Jalin Moore",RB,"Appalachian State","212 lbs",2019,11/28/95
"Jalston Fowler",RB,Alabama,"254 lbs",2015,7/26/90
"Jamaal Charles",RB,Texas,"199 lbs",2008,12/27/86
"Jamaal Williams",RB,BYU,"212 lbs",2017,4/3/95
"Jamal Morrow",RB,"Washington State","195 lbs",2018,1/23/95
"Jamauri Bogan",RB,"Western Michigan",-,2019,3/15/96
"James Butler",RB,Iowa,"209 lbs",2018,2/19/95
"James Conner",RB,Pittsburgh,"233 lbs",2017,5/5/95
"James Develin",RB,Brown,"255 lbs",2010,7/23/88
"James Flanders",RB,Tulsa,"198 lbs",2017,6/30/94
"James Gilbert",RB,"Ball State",-,2019,10/11/95
"James Starks",RB,Buffalo,"218 lbs",2010,2/25/86
"James Summers",RB,"East Carolina","218 lbs",2017,6/12/94
"James White",RB,Wisconsin,"204 lbs",2014,2/3/92
"James Wilder Jr.",RB,"Florida State","232 lbs",2014,4/14/92
"James Williams",RB,"Washington State","197 lbs",2019,5/17/96
"Jamize Olawale",RB,"North Texas","238 lbs",2012,4/17/89
"Jarryd Hayne",RB,None,"220 lbs",2015,2/15/88
"Jarveon Williams",RB,UTSA,"205 lbs",2017,1/3/95
"Jarvion Franklin",RB,"Western Michigan","239 lbs",2018,12/9/95
"Javorius Allen",RB,USC,"221 lbs",2015,8/27/91
"Jay Ajayi",RB,"Boise State","221 lbs",2015,6/15/93
"Jay Prosch",RB,Auburn,"255 lbs",2014,8/21/92
"Jaylen Samuels",RB,"NC State","225 lbs",2018,7/20/96
"Jeff Wilson",RB,"North Texas","210 lbs",2018,11/16/95
"Jeremy Cox",RB,"Old Dominion",-,2019,6/20/97
"Jeremy Hill",RB,LSU,"233 lbs",2014,10/29/92
"Jeremy Langford",RB,"Michigan State","208 lbs",2015,12/6/91
"Jeremy McNichols",RB,"Boise State","214 lbs",2017,12/26/95
"Jeremy Stewart",RB,Stanford,"218 lbs",2012,2/17/89
"Jerick McKinnon",RB,"Georgia Southern","209 lbs",2014,5/3/92
"Jerome Smith",RB,Syracuse,"220 lbs",2014,4/15/91
"Jewel Hampton",RB,"Southern Illinois","210 lbs",2012,12/23/89
"Jhurell Pressley",RB,"New Mexico","206 lbs",2016,5/20/92
"Joe Banyard",RB,UTEP,"205 lbs",2012,11/12/88
"Joe Kerridge",RB,Michigan,"245 lbs",2016,9/17/92
"Joe Mixon",RB,Oklahoma,"228 lbs",2017,7/24/96
"Joe Williams",RB,Utah,"210 lbs",2017,9/4/93
"Joel Bouagnon",RB,"Northern Illinois","230 lbs",2017,3/28/95
"Joey Demartino",RB,"Utah State","200 lbs",2014,9/28/90
"Joey Iosefa",RB,Hawaii,"245 lbs",2015,6/19/91
"John Crockett",RB,"North Dakota State","217 lbs",2015,2/6/92
"John Kelly",RB,Tennessee,"216 lbs",2018,10/4/96
"John Kuhn",RB,Shippensburg,"250 lbs",2006,9/9/82
"John Spooney",RB,Brown,"193 lbs",2014,2/11/92
"Johnathan Franklin",RB,UCLA,"205 lbs",2013,10/23/89
"Joique Bell",RB,"Wayne State","220 lbs",2010,8/4/86
"Jon Hilliman",RB,Rutgers,-,2019,11/14/95
"Jonas Gray",RB,"Notre Dame","225 lbs",2012,6/27/90
"Jonathan Dwyer",RB,"Georgia Tech","229 lbs",2010,7/26/89
"Jonathan Grimes",RB,"William & Mary","208 lbs",2012,12/21/89
"Jonathan Stewart",RB,Oregon,"235 lbs",2008,3/21/87
"Jonathan Williams",RB,Arkansas,"220 lbs",2016,2/2/94
"Jordan Chunn",RB,Troy,"239 lbs",2018,1/2/95
"Jordan Ellis",RB,Virginia,-,2019,-
"Jordan Howard",RB,Indiana,"230 lbs",2016,11/2/94
"Jordan Johnson",RB,Buffalo,"223 lbs",2017,5/21/94
"Jordan Lynch",RB,"Northern Illinois","217 lbs",2014,10/3/90
"Jordan Scarlett",RB,Florida,"208 lbs",2019,2/9/96
"Jordan Todman",RB,Connecticut,"198 lbs",2011,2/24/90
"Jordan Wilkins",RB,Mississippi,"216 lbs",2018,7/18/94
"Joseph Randle",RB,"Oklahoma State","210 lbs",2013,12/29/91
"Joseph Yearby",RB,Miami,"185 lbs",2017,12/11/95
"Josh Adams",RB,"Notre Dame","213 lbs",2018,10/29/96
"Josh Ferguson",RB,Illinois,"198 lbs",2016,5/23/93
"Josh Harris",RB,"Wake Forest","200 lbs",2014,1/22/91
"Josh Jacobs",RB,Alabama,"220 lbs",2019,2/11/98
"Josh Robinson",RB,"Mississippi State","217 lbs",2015,8/24/92
"Josh Rounds",RB,Tulane,"205 lbs",2017,10/11/93
"Joshuwa Holloman",RB,"Eastern Michigan",-,2019,-
"Justice Hill",RB,"Oklahoma State","198 lbs",2019,11/14/97
"Justin Crawford",RB,"West Virginia","199 lbs",2018,2/19/95
"Justin Davis",RB,USC,"208 lbs",2017,11/11/95
"Justin Forsett",RB,California,"198 lbs",2008,10/14/85
"Justin Jackson",RB,Northwestern,"193 lbs",2018,4/22/96
"Justin Stockton",RB,"Texas Tech","201 lbs",2018,7/6/95
"Juwan Thompson",RB,Duke,"228 lbs",2014,5/13/92
"Ka'Deem Carey",RB,Arizona,"207 lbs",2014,10/30/92
"Kahlil Bell",RB,UCLA,"219 lbs",2009,12/10/86
"Kalen Ballage",RB,"Arizona State","228 lbs",2018,12/22/95
"Kamryn Pettway",RB,Auburn,"235 lbs",2018,12/20/95
"Kapri Bibbs",RB,"Colorado State","212 lbs",2014,1/10/93
"Karan Higdon",RB,Michigan,"206 lbs",2019,9/8/96
"Kareem Hunt",RB,Toledo,"216 lbs",2017,8/6/95
"Karlos Williams",RB,"Florida State","230 lbs",2015,5/4/93
"Keith Ford",RB,"Texas A&M","219 lbs",2018,4/18/94
"Keith Marshall",RB,Georgia,"219 lbs",2016,2/16/94
"Keith Smith",RB,"San Jose State","240 lbs",2014,4/8/92
"Kelvin Taylor",RB,Florida,"207 lbs",2016,9/28/93
"Kendall Gaskins",RB,Richmond,"238 lbs",2013,11/4/90
"Kendall Hunter",RB,"Oklahoma State","199 lbs",2011,9/16/88
"Kenjon Barner",RB,Oregon,"196 lbs",2013,4/28/89
"Kenneth Dixon",RB,"Louisiana Tech","215 lbs",2016,1/21/94
"Kenneth Farrow",RB,Houston,"218 lbs",2016,3/7/93
"Kenny Hilliard",RB,LSU,"226 lbs",2015,10/31/91
"Kenny Young",RB,"Miami (OH)",-,2019,4/5/95
"Kenyan Drake",RB,Alabama,"210 lbs",2016,1/27/94
"Kerrith Whyte",RB,"Florida Atlantic",-,2019,10/31/96
"Kerryon Johnson",RB,Auburn,"213 lbs",2018,6/30/97
"Kerwynn Williams",RB,"Utah State","195 lbs",2013,6/9/91
"Keshawn Hill",RB,"Sam Houston State","200 lbs",2015,3/17/93
"Khalfani Muhammad",RB,California,"170 lbs",2017,9/26/94
"Khalid Hill",RB,Michigan,"263 lbs",2018,6/4/95
"Khiry Robinson",RB,"West Texas A&M","220 lbs",2013,12/28/89
"Knile Davis",RB,Arkansas,"227 lbs",2013,10/5/91
"Knowshon Moreno",RB,Georgia,"210 lbs",2009,7/16/87
"Kory Sheets",RB,Purdue,"203 lbs",2009,3/31/85
"Kyle Hicks",RB,TCU,"202 lbs",2018,1/17/96
"Kyle Juszczyk",RB,Harvard,"248 lbs",2013,4/23/91
"L.J. Scott",RB,"Michigan State","227 lbs",2019,9/15/96
"La'Rod Stephens-Howling",RB,Pittsburgh,"185 lbs",2009,4/26/87
"LaDainian Tomlinson",RB,TCU,"215 lbs",2001,6/23/79
"LaDarius Perkins",RB,"Mississippi State","195 lbs",2014,9/18/90
"LaMichael James",RB,Oregon,"195 lbs",2012,10/22/89
"Lache Seastrunk",RB,Baylor,"201 lbs",2014,7/29/91
"Lamar Miller",RB,Miami,"218 lbs",2012,4/25/91
"Lance Dunbar",RB,"North Texas","191 lbs",2012,1/25/90
"Larry Rose",RB,"New Mexico State","192 lbs",2018,9/9/95
"Latavius Murray",RB,"Central Florida","223 lbs",2013,1/18/90
"Lavon Coleman",RB,Washington,"215 lbs",2018,12/10/94
"Lawrence Thomas",RB,"Michigan State","286 lbs",2016,4/16/93
"Le'Veon Bell",RB,"Michigan State","230 lbs",2013,2/18/92
"LeGarrette Blount",RB,Oregon,"241 lbs",2010,12/5/86
"LeSean McCoy",RB,Pittsburgh,"208 lbs",2009,7/12/88
"LeShun Daniels",RB,Iowa,"222 lbs",2017,6/4/95
"Lenard Tillery",RB,Southern,"198 lbs",2017,12/9/93
"Leonard Fournette",RB,LSU,"240 lbs",2017,1/18/95
"Lexington Thomas",RB,UNLV,-,2019,1/8/96
"Lorenzo Taliaferro",RB,"Coastal Carolina","229 lbs",2014,12/23/91
"Mack Brown",RB,Florida,"206 lbs",2015,9/24/91
"Madre London",RB,Tennessee,-,2019,1/27/96
"Malcolm Agnew",RB,"Southern Illinois","202 lbs",2015,5/17/93
"Malcolm Brown",RB,Texas,"224 lbs",2015,1/1/93
"Malcolm Johnson",RB,"Mississippi State","231 lbs",2015,8/11/92
"Malik Williams",RB,Louisville,"200 lbs",2018,6/20/96
"Marcel Reece",RB,Washington,"240 lbs",2009,6/23/85
"Marcus Cox",RB,"Appalachian State","211 lbs",2017,9/20/94
"Marcus Lattimore",RB,"South Carolina","221 lbs",2013,10/29/91
"Marcus Murphy",RB,Missouri,"193 lbs",2015,10/3/91
"Marion Grice",RB,"Arizona State","208 lbs",2014,4/10/92
"Mark Ingram",RB,Alabama,"215 lbs",2011,12/21/89
"Mark Thompson",RB,Florida,"232 lbs",2018,12/9/94
"Mark Walton",RB,Miami,"202 lbs",2018,3/28/97
"Markell Jones",RB,Purdue,-,2019,9/26/96
"Marlon Mack",RB,"South Florida","213 lbs",2017,3/7/96
"Marquez Williams",RB,Miami,"260 lbs",2017,7/16/94
"Marquis Young",RB,UMass,-,2019,-
"Marshaun Coprich",RB,"Illinois State","207 lbs",2016,8/10/94
"Marshawn Lynch",RB,California,"215 lbs",2007,4/22/86
"Martez Carter",RB,Grambling,"210 lbs",2018,3/8/93
"Matt Asiata",RB,Utah,"234 lbs",2011,7/24/87
"Matt Breida",RB,"Georgia Southern","195 lbs",2017,2/28/95
"Matt Forte",RB,Tulane,"218 lbs",2008,12/10/85
"Matt Jones",RB,Florida,"231 lbs",2015,3/7/93
"Matthew Dayes",RB,"NC State","205 lbs",2017,9/3/94
"Matthew Tucker",RB,TCU,"227 lbs",2013,5/24/91
"Maurice Jones-Drew",RB,UCLA,"208 lbs",2006,3/23/85
"Melvin Gordon",RB,Wisconsin,"215 lbs",2015,4/12/93
"Michael Bush",RB,Louisville,"245 lbs",2007,6/16/84
"Michael Cox",RB,Massachusetts,"214 lbs",2013,11/14/88
"Michael Dyer",RB,Louisville,"218 lbs",2015,10/13/90
"Michael Ford",RB,LSU,"216 lbs",2013,5/27/90
"Michael Hill",RB,"Missouri Western","210 lbs",2013,8/14/89
"Michael Smith",RB,"Utah State","205 lbs",2012,8/9/88
"Mike Boone",RB,Cincinnati,"206 lbs",2018,7/30/95
"Mike Burton",RB,Rutgers,"240 lbs",2015,2/1/92
"Mike Davis",RB,"South Carolina","217 lbs",2015,5/11/92
"Mike Gillislee",RB,Florida,"219 lbs",2013,11/1/90
"Mike Goodson",RB,"Texas A&M","212 lbs",2009,5/23/87
"Mike James",RB,Miami,"223 lbs",2013,4/13/91
"Mike Tolbert",RB,"Coastal Carolina","243 lbs",2008,11/23/85
"Mike Warren",RB,"Iowa State",-,2019,1/1/96
"Mike Weber",RB,"Ohio State","211 lbs",2019,8/25/97
"Mikel Leshoure",RB,Illinois,"233 lbs",2011,3/30/90
"Miles Sanders",RB,"Penn State","211 lbs",2019,5/1/97
"Montee Ball",RB,Wisconsin,"214 lbs",2013,12/5/90
"Myles Gaskin",RB,Washington,"205 lbs",2019,2/15/97
"Nick Bawden",RB,"San Diego State","245 lbs",2018,6/22/96
"Nick Brossette",RB,LSU,"209 lbs",2019,3/2/96
"Nick Chubb",RB,Georgia,"227 lbs",2018,12/27/95
"Nick Holley",RB,"Kent State","196 lbs",2018,12/5/94
"Nick Wilson",RB,Arizona,"199 lbs",2018,4/21/96
"Nico Evans",RB,Wyoming,-,2019,5/31/96
"Nyheim Hines",RB,"NC State","198 lbs",2018,11/12/96
"Orleans Darkwa",RB,Tulane,"215 lbs",2014,2/28/92
"Patrick DiMarco",RB,"South Carolina","234 lbs",2011,4/30/89
"Patrick Laird",RB,California,-,2019,8/17/95
"Paul Perkins",RB,UCLA,"208 lbs",2016,11/16/94
"Peyton Barber",RB,Auburn,"228 lbs",2016,6/27/94
"Peyton Hillis",RB,Arkansas,"250 lbs",2008,1/21/86
"Phillip Lindsay",RB,Colorado,"184 lbs",2018,7/24/94
"Phillip Tanner",RB,"Middle Tennessee","208 lbs",2011,8/8/88
"Pierre Thomas",RB,Illinois,"215 lbs",2007,12/18/84
"Qadree Ollison",RB,Pittsburgh,"228 lbs",2019,9/8/96
"Quinton Flowers",RB,"Central Florida","214 lbs",2018,12/2/94
"Raheem Mostert",RB,Purdue,"186 lbs",2015,4/9/92
"Rajion Neal",RB,Tennessee,"220 lbs",2014,3/28/92
"Ralph Webb",RB,Vanderbilt,"202 lbs",2018,11/21/94
