"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"C.J. Uzomah",TE,4.57,7.22,4.67,118,31.0,19
"Caleb Wilson",TE,4.40,7.20,4.56,113,29.0,-
"Cam Serigne",TE,4.34,7.09,5.02,109,32.0,17
"Cameron Brate",TE,4.48,7.16,4.82,117,33.5,24
"Cameron Clear",TE,4.48,7.52,4.98,108,32.0,-
"Carson Meier",TE,4.72,7.60,4.96,116,34.5,19
"Casey Pierce",TE,4.22,6.97,4.82,118,36.5,19
"Cethan Carter",TE,-,-,4.68,-,-,19
"Charles Clay",TE,4.15,7.07,4.73,118,33.5,18
"Chase Coffman",TE,-,-,4.88,-,-,-
"Chase Dixon",TE,-,-,4.78,-,-,-
"Chase Ford",TE,4.35,7.34,4.80,110,33.0,20
"Chris Bazile",TE,-,-,4.90,-,29.5,23
"Chris Coyle",TE,4.46,7.20,5.00,108,30.5,16
"Chris Gragg",TE,4.35,7.08,4.50,125,37.5,18
"Chris Herndon",TE,4.59,7.38,-,116,34.0,21
"Clay Harbor",TE,4.36,7.12,4.69,120,40.0,30
"Clive Walford",TE,4.57,7.32,4.79,120,35.0,20
"Coby Fleener",TE,4.30,7.02,4.56,116,37.0,27
"Cole Hikutini",TE,4.57,7.22,4.90,120,34.5,20
"Cole Hunt",TE,4.37,7.15,4.88,115,32.0,21
"Cole Wick",TE,4.32,7.16,4.98,125,36.5,14
"Colin Thompson",TE,4.65,7.42,5.06,108,28.0,18
"Colt Lyerla",TE,4.11,6.92,4.61,128,39.0,15
"Cooper Helfet",TE,4.22,6.82,4.71,119,32.0,24
"Craig Stevens",TE,4.31,7.07,4.59,114,27.5,27
"Crockett Gillmore",TE,4.44,7.42,4.89,120,33.5,18
"D.J. Williams",TE,4.51,7.29,4.57,111,33.5,20
"Dallas Goedert",TE,4.31,7.02,-,121,35.0,23
"Dalton Schultz",TE,4.40,7.00,4.75,120,32.0,15
"Damon Gibson",TE,-,-,4.67,-,37.5,18
"Dan Arnold",TE,4.30,6.81,4.68,127,39.5,12
"Daniel Brown",TE,4.18,6.86,4.65,116,31.5,11
"Daniel Fells",TE,4.52,7.29,4.95,108,29.5,19
"Daniel Helm",TE,4.37,7.02,4.89,125,39.5,14
"Dante Rosario",TE,4.47,6.96,4.76,115,36.0,20
"Darion Griswold",TE,4.84,7.50,4.87,107,31.5,17
"Darrell Daniels",TE,4.47,7.09,4.55,116,32.0,17
"Darren Waller",TE,4.25,7.07,4.46,125,37.0,12
"Datryan Evans",TE,-,-,5.09,105,29.5,16
"David Ausberry",TE,4.43,7.08,4.53,121,36.0,23
"David Grinnage",TE,4.74,7.56,4.90,106,29.5,7
"David Morgan",TE,4.19,6.93,5.02,115,30.0,29
"David Njoku",TE,4.34,6.97,4.64,133,37.5,21
"David Paulson",TE,4.40,7.18,4.93,110,32.0,21
"David Wells",TE,4.59,7.50,4.75,116,33.0,20
"David Wright",TE,4.43,7.59,4.70,125,36.0,27
"Dawson Knox",TE,4.27,7.12,4.64,122,34.5,16
"Dax Raymond",TE,4.39,7.15,4.73,109,32.0,15
"DeAndre Goolsby",TE,4.36,6.97,4.84,114,30.5,13
"Delanie Walker",TE,4.60,7.23,4.58,118,36.5,-
"Demetrius Harris",TE,-,-,4.57,122,36.5,-
"Dennis Pitta",TE,4.17,6.72,4.68,113,34.0,27
"Deon Yelder",TE,4.64,7.32,4.83,120,33.0,18
"Derek Carrier",TE,4.08,6.65,4.55,122,38.0,15
"Derrick Griffin",TE,4.49,-,-,119,31.0,11
"Devin Mahina",TE,4.45,7.12,4.87,117,29.5,23
"Devon Cajuste",TE,4.20,6.49,4.62,123,36.0,12
"Dion Sims",TE,4.52,7.16,4.75,112,35.0,22
"Donald Parham",TE,4.51,7.53,4.73,125,38.5,17
"Donnie Ernsberger",TE,4.34,7.09,4.78,114,31.0,15
"Drew Sample",TE,4.31,7.15,4.71,115,33.5,-
"Durham Smythe",TE,4.23,7.17,4.81,110,31.0,18
"Dustin Keller",TE,4.14,6.88,4.55,131,38.0,26
"Dwayne Allen",TE,4.37,7.12,4.89,110,32.0,27
"E.J. Bibbs",TE,4.52,7.22,4.93,110,31.5,20
"Ed Dickson",TE,4.59,7.32,4.67,115,34.0,23
"Emanuel Byrd",TE,4.51,7.37,4.71,116,33.6,20
"Eric Ebron",TE,4.45,7.49,4.60,120,32.0,24
"Eric Frohnapfel",TE,4.43,7.42,4.85,114,30.5,16
"Eric Saubert",TE,4.59,7.34,4.74,121,33.0,22
"Eric Tomlinson",TE,4.54,7.46,4.98,110,30.5,19
"Eric Waters",TE,4.39,7.17,4.75,122,39.0,18
"Erik Swoope",TE,-,-,4.78,-,-,-
"Ethan Wolf",TE,4.29,7.14,5.03,110,29.5,15
"Evan Baylis",TE,4.39,7.23,4.92,114,29.0,17
"Evan Engram",TE,4.23,6.92,4.42,125,36.0,19
"Evan Wilson",TE,4.50,7.38,4.90,124,35.5,19
"Foster Moreau",TE,4.11,7.16,4.66,121,36.5,22
"Fred Davis",TE,4.68,7.36,4.73,116,33.0,24
"Gabe Holmes",TE,4.30,7.31,4.93,112,33.5,21
"Garrett Celek",TE,4.49,7.12,4.77,119,34.0,19
"Garrett Dickerson",TE,4.44,7.19,4.83,118,30.0,19
"Garrett Graham",TE,4.35,7.09,4.71,112,34.5,20
"Garrett Griffin",TE,4.56,7.13,4.80,117,36.0,15
"Gary Barnidge",TE,4.23,6.92,4.65,117,31.0,22
"Gator Hoskins",TE,4.53,7.22,4.78,116,36.5,22
"Gavin Escobar",TE,4.31,7.07,4.84,114,32.0,12
"Geoff Swaim",TE,4.52,7.31,4.75,124,35.5,-
"George Kittle",TE,4.07,6.76,4.52,132,35.0,18
"Gerald Christian",TE,4.70,7.62,4.87,-,-,28
"Gerald Everett",TE,4.33,6.99,4.62,126,37.5,22
"Gerell Robinson",TE,4.15,7.10,4.62,113,35.5,-
"Greg Olsen",TE,4.48,7.04,4.51,114,35.5,23
"Hakeem Valles",TE,4.46,7.28,4.74,118,33.5,15
"Harold Spears",TE,4.53,7.25,4.80,118,36.5,20
"Hayden Hurst",TE,4.37,7.19,4.67,120,31.5,16
"Hayden Plinke",TE,4.59,7.55,4.97,109,28.0,18
"Heath Miller",TE,-,-,4.84,115,32.0,-
"Henry Krieger-Coble",TE,4.48,7.16,4.96,110,33.5,10
"Hunter Henry",TE,4.41,7.16,4.72,113,31.5,13
"Ian Thomas",TE,4.20,7.15,4.74,123,36.0,-
"Ifeanyi Momah",TE,-,-,4.80,-,-,-
"Irv Smith",TE,4.33,7.32,4.63,110,32.5,19
"Isaac Nauta",TE,4.43,7.45,4.91,114,28.0,19
"J.P. Holtz",TE,4.33,6.92,4.84,112,33.0,20
"Jace Amaro",TE,4.30,7.42,4.74,118,33.0,28
"Jace Sternberger",TE,4.31,7.19,4.75,113,31.5,17
"Jack Doyle",TE,-,-,4.91,-,-,-
"Jacob Hollister",TE,4.34,7.12,4.69,121,36.5,-
"Jacob Maxwell",TE,4.40,7.26,4.73,127,38.5,21
"Jacob Pedersen",TE,4.40,7.55,4.89,111,28.5,20
"Jacob Tamme",TE,4.27,6.99,4.58,109,30.0,18
"Jaeden Graham",TE,-,-,4.78,122,33.0,0
"Jake Ballard",TE,-,-,4.89,114,31.5,17
"Jake Fisher",TE,4.33,7.25,5.01,-,32.5,25
"Jake McGee",TE,4.63,7.26,4.89,114,28.5,17
"Jake Murphy",TE,4.27,7.18,4.78,114,33.0,24
"Jake Roh",TE,4.75,7.32,5.01,109,32.5,13
"Jake Sinkovec",TE,4.58,7.28,4.93,110,30.5,23
"Jake Stoneburner",TE,4.27,7.12,4.65,116,34.5,18
"James Casey",TE,4.48,7.00,4.66,111,36.0,28
"James Hanna",TE,4.11,6.76,4.49,122,36.0,24
"James O'Shaughnessy",TE,4.38,7.20,4.73,116,35.0,16
"Jared Cook",TE,4.56,7.25,4.50,123,41.0,23
"Jason Croom",TE,4.40,7.33,4.74,120,34.0,23
"Jason Vander Laan",TE,4.16,6.76,4.83,119,30.5,27
"Jason Witten",TE,-,-,4.70,111,31.0,25
"Je'Ron Hamm",TE,4.39,7.13,4.70,118,37.0,15
"Jean Sifrin",TE,4.60,7.50,4.84,114,33.0,15
"Jeff Cumberland",TE,4.39,6.89,4.50,118,35.5,20
"Jeff Heuerman",TE,-,-,4.86,120,34.5,26
"Jerell Adams",TE,4.31,7.05,4.64,117,32.5,18
"Jeremy Eddington",TE,4.53,7.67,4.82,125,35.5,17
"Jeremy Sprinkle",TE,4.53,7.10,4.69,116,29.0,15
"Jermaine Gresham",TE,4.53,7.07,4.66,113,35.0,20
"Jermichael Finley",TE,4.38,7.15,4.82,117,27.5,20
"Jerome Cunningham",TE,4.56,7.66,4.75,116,34.5,26
"Jesse James",TE,4.50,7.53,4.83,121,37.5,26
"Jim Dray",TE,4.38,7.14,4.87,113,34.0,17
"Jimmy Graham",TE,4.45,6.90,4.56,120,38.5,15
"Joe Don Duncan",TE,4.28,6.86,4.80,112,33.0,35
"Joel Dreessen",TE,4.05,7.10,4.72,113,36.0,22
"John Carlson",TE,4.28,7.12,4.88,113,30.5,20
"John Peters",TE,-,-,4.73,127,-,27
"John Phillips",TE,4.27,6.84,4.79,112,33.5,20
"Johnny Mundt",TE,4.24,7.21,4.79,113,30.0,21
"Jonnu Smith",TE,4.18,7.43,4.62,127,38.0,22
"Jordan Akins",TE,4.38,7.29,-,122,35.0,24
"Jordan Cameron",TE,4.03,6.82,4.59,119,37.5,23
"Jordan Franks",TE,4.45,7.20,4.66,111,31.5,22
"Jordan Leggett",TE,4.33,7.12,4.80,114,33.0,18
"Jordan Najvar",TE,4.47,7.14,4.93,112,32.5,18
"Jordan Reed",TE,4.25,6.86,4.72,113,33.0,16
"Jordan Thomas",TE,4.75,7.50,4.74,111,27.0,16
"Joseph Fauria",TE,4.53,7.49,4.77,120,35.5,17
"Josh Hill",TE,4.19,7.00,4.71,127,36.5,20
"Josh Oliver",TE,4.47,7.21,4.63,117,34.0,22
"Joshua Perkins",TE,4.38,7.04,4.70,126,34.0,12
"Josiah Price",TE,4.51,7.32,4.94,115,33.5,25
"Julius Thomas",TE,4.31,6.96,4.68,111,35.5,16
"Justice Cunningham",TE,4.45,7.12,4.94,116,31.5,17
"Justin Jones",TE,4.60,6.88,4.95,113,37.0,22
"Justin Perillo",TE,4.36,6.98,4.81,109,30.5,19
"Kaden Smith",TE,4.47,7.08,4.92,108,32.0,15
"Kahale Warring",TE,4.25,7.21,4.67,122,36.5,19
"Kano Dillon",TE,4.52,7.39,4.74,122,35.5,18
"Keenen Brown",TE,4.51,7.27,4.75,117,33.0,17
"Keith Towbridge",TE,4.40,7.10,4.77,125,37.5,19
"Kellen Davis",TE,4.38,7.25,4.60,118,28.0,22
"Kendall Blanton",TE,4.42,7.37,4.95,113,31.0,22
"Kennard Backman",TE,4.49,7.23,4.71,117,35.5,17
"Kent Taylor",TE,4.41,7.54,4.69,120,32.0,-
"Kevin Rader",TE,4.46,7.07,4.97,112,34.0,17
"Khari Lee",TE,4.42,7.62,5.08,115,36.0,18
"Kyle Carter",TE,4.37,7.09,4.69,122,35.5,13
"Kyle Nelson",TE,4.37,7.32,4.68,107,30.0,21
"Kyle Rudolph",TE,4.37,7.24,4.88,113,34.5,19
"Ladarius Green",TE,4.47,7.12,4.53,124,34.5,16
"Lance Kendricks",TE,4.15,6.94,4.75,122,34.5,25
"Larry Donnell",TE,4.59,7.41,4.96,116,34.5,-
"Lee Smith",TE,4.28,7.13,5.01,108,29.0,25
"Levine Toilolo",TE,4.57,7.09,4.86,117,33.5,17
"Logan Parker",TE,4.33,7.20,4.93,114,31.5,17
"Logan Paulsen",TE,4.52,7.36,4.94,107,27.5,25
"Logan Thomas",TE,4.18,7.05,4.61,118,35.5,-
"Luke Stocker",TE,4.40,7.03,4.79,115,33.0,27
"Luke Willson",TE,4.29,7.08,4.56,122,38.0,23
"Manasseh Garner",TE,4.47,7.12,4.81,118,30.5,25
"MarQueis Gray",TE,4.30,7.25,4.73,111,30.0,15
"Marcedes Lewis",TE,4.84,7.24,4.80,118,37.0,23
"Marcel Jensen",TE,4.60,7.38,4.85,115,35.0,24
"Marcus Baugh",TE,4.51,7.28,4.87,117,33.0,-
"Marcus Lucas",TE,4.25,7.07,4.60,124,36.0,20
"Mark Andrews",TE,4.38,7.34,4.67,113,31.0,17
"Mark Harrison",TE,4.33,6.99,4.46,129,38.5,17
"Martellus Bennett",TE,4.53,7.64,4.68,118,34.0,18
"Mason Schreck",TE,4.27,7.36,4.81,118,34.5,19
"Matt Flanagan",TE,4.38,7.21,4.82,116,31.5,-
"Matt LaCosse",TE,4.57,7.30,4.76,116,30.0,20
"Matt Lengel",TE,4.33,7.26,4.96,117,32.0,26
"Matt Sokol",TE,4.34,7.35,4.92,112,30.5,23
"Matt Weiser",TE,4.41,7.15,4.85,114,30.0,18
"Matthew Mulligan",TE,-,-,4.91,-,-,-
"Mavin Saunders",TE,-,-,4.92,111,31.0,12
"Maxx Williams",TE,4.37,7.30,4.78,117,34.5,17
"Michael Egnew",TE,4.32,7.03,4.62,131,36.0,21
"Michael Hoomanawanui",TE,4.52,7.67,4.82,110,32.5,25
"Michael Roberts",TE,4.51,7.05,4.86,110,30.0,-
"Mickey Shuler",TE,4.25,6.77,4.68,131,37.5,28
"Micky Crum",TE,4.66,7.22,5.03,106,31.0,15
"Mike Flacco",TE,4.34,7.21,4.79,115,33.5,14
"Mike Gesicki",TE,4.10,6.76,4.54,129,41.5,22
"Mike McFarland",TE,4.40,7.15,4.85,116,35.0,18
"Mitchell Henry",TE,4.28,7.15,4.74,114,37.0,15
"Mo Alie-Cox",TE,4.45,7.25,4.80,122,35.5,23
"Moritz Boehringer",TE,4.10,6.65,4.48,131,39.0,17
"MyCole Pruitt",TE,4.37,7.25,4.58,118,38.0,17
"Mychal Rivera",TE,4.43,7.17,4.81,112,31.0,17
"Neal Sterling",TE,4.25,7.07,4.68,116,35.5,16
"Nic Jacobs",TE,4.72,7.40,4.81,117,35.0,15
"Nick Boyle",TE,4.23,7.13,5.04,112,30.5,20
"Nick Kasa",TE,4.45,7.18,4.71,113,31.5,22
"Nick Keizer",TE,4.35,7.35,4.82,121,32.0,27
"Nick O'Leary",TE,4.50,7.40,4.93,110,30.5,21
"Nick Truesdell",TE,4.47,6.83,4.78,114,31.5,10
"Nick Vannett",TE,4.20,7.05,4.95,111,30.5,17
"Niles Paul",TE,4.14,6.90,4.51,117,34.5,24
"Noah Fant",TE,4.22,6.81,4.50,127,39.5,20
"O.J. Howard",TE,4.16,6.85,4.51,121,30.0,22
"Orson Charles",TE,4.37,-,4.78,113,30.5,35
"Owen Daniels",TE,4.11,6.88,4.65,114,34.5,23
"Paul Butler",TE,4.47,7.06,4.91,118,39.5,19
"Pharaoh Brown",TE,4.46,7.24,4.88,103,34.0,24
"Pharoah McKever",TE,4.72,7.26,4.84,119,31.5,15
"Phazahn Odom",TE,4.55,7.27,4.84,119,33.0,18
"Phillip Supernaw",TE,4.60,7.10,4.75,110,32.5,18
"Randall Telfer",TE,-,-,4.88,-,-,20
"Reggie Jordan",TE,4.30,7.22,4.77,116,30.0,24
"Rhett Ellison",TE,4.39,7.16,4.88,111,31.5,-
"Richard Rodgers",TE,4.47,7.23,4.87,116,31.5,16
"Richard Ross",TE,-,-,4.65,-,-,-
"Ricky Seals-Jones",TE,4.33,7.46,4.69,121,28.0,17
"Rico Gathers",TE,4.56,-,4.84,115,-,-
"Rob Blanchflower",TE,4.47,7.15,4.87,112,32.0,22
"Rob Gronkowski",TE,4.47,7.18,4.73,119,33.5,23
"Rob Housler",TE,4.21,6.90,4.55,117,37.0,22
"Robert Tonyan",TE,4.34,7.12,4.63,125,35.0,16
"Rory Anderson",TE,-,-,4.78,-,-,-
"Ross Dwelley",TE,-,-,4.95,-,27.5,-
"Ross Travis",TE,-,-,4.65,-,-,-
"Ryan Griffin",TE,4.43,7.01,4.92,113,34.5,21
"Ryan Izzo",TE,4.43,7.15,4.94,110,33.0,18
"Ryan Malleck",TE,4.33,7.00,4.86,121,34.5,18
"Ryan Nall",TE,4.16,6.95,4.58,122,33.0,15
"Ryan O'Malley",TE,4.53,7.47,4.82,117,32.0,19
"Ryan Smith",TE,-,7.46,4.92,110,28.0,-
"Ryan Yurachek",TE,4.44,7.34,4.75,113,32.5,18
"Scott Chandler",TE,4.32,7.26,4.78,111,30.0,16
"Scott Orndoff",TE,4.45,7.37,4.84,112,27.0,17
"Scott Simonson",TE,4.62,7.38,4.92,111,30.5,24
"Sean Culkin",TE,4.46,7.20,4.76,120,35.5,21
"Sean McGrath",TE,4.16,6.99,4.83,123,35.5,-
"Seth Devalve",TE,4.18,6.96,4.73,125,40.0,22
"Shane Smith",TE,4.48,7.37,4.86,126,37.0,36
"Stephen Anderson",TE,4.13,6.95,4.65,119,38.0,16
"Steven Scheu",TE,4.35,7.14,4.80,116,33.0,23
"T.J. Hockenson",TE,4.18,7.02,4.70,123,37.5,17
"Taylor McNamara",TE,4.36,7.07,4.83,117,32.5,14
"Taylor Thompson",TE,4.38,7.43,4.60,126,37.0,22
"Ted Bolser",TE,4.50,7.15,4.76,111,31.0,19
"Temarrick Hemingway",TE,4.31,6.88,4.71,115,30.5,18
"Thomas Duarte",TE,4.24,6.97,4.72,118,33.5,12
"Tim Semisch",TE,4.43,7.37,5.03,112,31.0,16
"Timothy Wright",TE,4.47,7.27,4.70,118,36.0,19
"Tom Crabtree",TE,-,-,4.74,-,-,-
"Tommy Sweeney",TE,4.31,7.17,4.83,115,32.0,17
"Tony Moeaki",TE,4.42,7.10,4.69,113,34.0,18
"Travis Beckum",TE,4.10,7.05,4.66,118,38.5,28
"Travis Kelce",TE,4.42,7.09,4.66,124,35.0,-
"Trevon Wesco",TE,4.38,7.18,4.89,117,31.0,24
"Trey Burton",TE,4.32,7.14,4.62,112,30.0,19
"Troy Fumagalli",TE,-,-,-,-,-,14
"Troy Niklas",TE,4.55,7.57,4.89,114,32.0,27
"Tyler Beck",TE,4.43,7.33,4.81,118,35.0,18
"Tyler Conklin",TE,4.23,7.13,4.80,120,38.0,18
"Tyler Eifert",TE,4.32,6.92,4.68,119,35.5,22
"Tyler Higbee",TE,-,-,4.80,-,-,-
"Tyler Kroft",TE,4.50,7.18,4.80,120,34.0,17
"Tyler Petite",TE,4.46,7.20,4.78,111,27.5,-
"Tyrone Swoopes",TE,4.39,6.89,4.73,115,35.0,19
"Vance McDonald",TE,4.53,7.08,4.69,119,33.5,31
"Vernon Davis",TE,4.17,7.00,4.38,128,42.0,33
"Vince Mayle",TE,4.13,6.93,4.67,117,35.5,-
"Virgil Green",TE,4.40,6.90,4.64,130,42.5,23
"Wes Saxton",TE,4.49,7.29,4.65,119,36.0,19
"Will Dissly",TE,4.40,7.07,4.87,111,28.0,15
"Will Tye",TE,4.65,7.21,4.62,112,31.5,-
"Xavier Grimble",TE,4.79,7.41,4.95,113,26.5,16
"Zach Conque",TE,4.28,6.86,4.64,123,36.5,12
"Zach Ertz",TE,4.47,7.08,4.76,114,35.5,24
"Zach Gentry",TE,4.53,7.40,4.90,110,29.5,12
"Zach Miller",TE,4.22,7.06,4.58,124,37.5,16
"Zach Miller",TE,4.42,7.01,4.87,115,34.0,16
"Zach Sudfeld",TE,4.41,7.08,4.83,113,37.0,11
